name_key,name,base_wrc_vs_r,base_wrc_vs_l
eduardo escobar,Eduardo Escobar,73.7160163,90.5183715
dylan shockley,Dylan Shockley,36.4900375,43.7768823
leandro alsinois,Leandro Alsinois,9.59147441,15.1047771
harrison bader,Harrison Bader,94.1741287,99.7792202
andrew cossetti,Andrew Cossetti,68.6152844,77.0104935
ivan johnson,Ivan Johnson,70.0444762,70.9298114
manuel sequera,Manuel Sequera,38.4028293,43.3594371
jesus lizardo,Jesus Lizardo,3.57446032,4.26669675
pete crowarmstrong,Pete Crow-Armstrong,115.098891,84.8848103
nathan flewelling,Nathan Flewelling,40.3060237,14.5278567
vicent nunez,Vicent Nunez,-6.2813404,-2.3868736
errol robinson,Errol Robinson,55.5484731,63.0599714
johnathon thomas,Johnathon Thomas,50.5194737,55.8055838
guillermo rosario,Guillermo Rosario,11.758814,17.8812143
shohei ohtani,Shohei Ohtani,170.467757,132.06544
leroy escalante,Leroy Escalante,,-14.810335
louis pierre,Louis Pierre,3.86506948,-16.757258
dayber cruceta,Dayber Cruceta,16.6578436,-4.5936387
ariel armas,Ariel Armas,45.9223175,50.9745151
brandon drury,Brandon Drury,77.7505679,85.2158116
roy rivero,Roy Rivero,18.0759432,1.5779642
neyfy castillo,Neyfy Castillo,69.9058534,79.4643636
archer brookman,Archer Brookman,38.3754824,43.3340464
antonio pimentel,Antonio Pimentel,26.0606714,8.14010534
jimmy glowenke,Jimmy Glowenke,67.1305127,72.7655964
jayson bass,Jayson Bass,11.1299681,13.9004687
jarol capellan,Jarol Capellan,13.0326613,-6.9413962
nicolas vergara,Nicolas Vergara,-6.1573956,-25.175262
joe redfield,Joe Redfield,69.552452,42.4422766
connor wong,Connor Wong,81.5249629,88.7582677
jeremy ciriaco,Jeremy Ciriaco,13.1703294,17.8978721
ilan fernandez,Ilan Fernandez,7.78286867,11.2926218
gavin dugas,Gavin Dugas,34.5174212,38.5974585
korey lee,Korey Lee,69.3674152,78.1123849
yassel garcia,Yassel Garcia,6.88371124,7.01163993
jose caballero,Jose Caballero,85.5456891,88.4615599
michael berglund,Michael Berglund,64.2092383,35.1925279
lamar sparks,Lamar Sparks,69.8533924,79.6032877
nick peoples,Nick Peoples,20.4411921,22.9917488
aaron pinero,Aaron Pinero,8.31170883,12.1150737
andrew kachel,Andrew Kachel,83.3002085,53.6959774
jared young,Jared Young,109.10561,84.931905
charlie szykowny,Charlie Szykowny,69.9422049,44.5938775
andres alvarez,Andres Alvarez,65.5406276,73.1552588
pat valaika,Pat Valaika,54.3062249,64.5271757
nick roselli,Nick Roselli,40.9585581,17.7398346
jeury ramirez,Jeury Ramirez,15.1212868,-6.771373
cam williams,Cam Williams,43.8442249,44.7247892
manolfi jimenez,Manolfi Jimenez,36.6597002,13.9309944
seiya suzuki,Seiya Suzuki,115.01045,135.61153
jhonayker ugarte,Jhonayker Ugarte,4.3186912,9.9548014
kyren paris,Kyren Paris,74.4615758,86.0513736
cristian gonzalez,Cristian Gonzalez,32.7079018,38.431103
abdias de la cruz,Abdias De La Cruz,27.0644087,33.304928
alcides hernandez,Alcides Hernandez,20.1423452,0.56295439
kramer robertson,Kramer Robertson,73.4319429,79.9753736
kolten wong,Kolten Wong,82.4905637,56.3616756
leo balcazar,Leo Balcazar,72.6807985,79.7710396
brian okeefe,Brian O'Keefe,66.6063648,78.4119012
max durrington,Max Durrington,32.8545212,13.7149626
joe lampe,Joe Lampe,74.5392653,46.9529076
diego velasquez,Diego Velasquez,77.9509144,78.9235977
alejandro osuna,Alejandro Osuna,107.126092,86.1035893
marcell ozuna,Marcell Ozuna,111.993799,122.169344
frederik jimenez,Frederik Jimenez,28.4963641,29.6983818
ruben ibarra,Ruben Ibarra,71.8497752,80.6430993
christian saez,Christian Saez,3.1289157,-17.086404
riley tirotta,Riley Tirotta,71.614605,80.5278856
blake mitchell,Blake Mitchell,53.0895901,24.7491708
kody hoese,Kody Hoese,69.9236462,77.4567151
eric yang,Eric Yang,54.9888853,61.6732866
danny mendick,Danny Mendick,73.8117692,84.0197354
dexters peralta,Dexters Peralta,-2.8079799,-0.8158474
jayden kim,Jayden Kim,-2.7224808,2.23509084
sean bouchard,Sean Bouchard,77.6428256,89.6596447
troy johnston,Troy Johnston,92.1640554,66.7692191
brandon butterworth,Brandon Butterworth,73.5645114,79.6085663
tj friedl,TJ Friedl,108.101736,87.1515379
jose anderson,Jose Anderson,31.9332591,39.2192261
armando sierra,Armando Sierra,14.4169724,20.1553333
bennett lee,Bennett Lee,20.9208993,27.1058916
johan machado,Johan Machado,11.8373629,13.7525159
albert alberto,Albert Alberto,3.04464481,8.17515475
nick gordon,Nick Gordon,77.4101067,49.4447879
yoerny junco,Yoerny Junco,8.36008841,10.9902399
maylerson casanova,Maylerson Casanova,-7.1598658,-2.3328273
nick yorke,Nick Yorke,85.916407,95.2365591
luis castro,Luis Castro,75.2157568,83.1899908
jack brannigan,Jack Brannigan,73.403418,81.2790067
khalil lee,Khalil Lee,108.147957,77.7798211
gabriel guanchez,Gabriel Guanchez,1.74697165,7.19727345
michael stefanic,Michael Stefanic,97.8483271,103.079055
ryan clifford,Ryan Clifford,99.2750915,66.8968328
luis de los santos,Luis De Los Santos,60.3565967,69.1998506
jesus premoli,Jesus Premoli,6.33520115,-13.75949
cesar salazar,Cesar Salazar,80.4231633,57.3694812
leonel vivas,Leonel Vivas,6.14570859,9.81015095
rodrigo gonzalez,Rodrigo Gonzalez,0.87246051,5.34290642
joshua liranzo,Joshua Liranzo,25.9609991,31.7088719
hunter dozier,Hunter Dozier,57.5544327,66.4709458
kenny piper,Kenny Piper,57.3962434,65.1485202
bryan ramos,Bryan Ramos,74.5350695,85.781685
myles naylor,Myles Naylor,19.0449248,26.4158365
jeison lopez,Jeison Lopez,-0.5089907,3.4992724
tucker mitchell,Tucker Mitchell,52.5214842,59.4312361
luisangel acuna,Luisangel Acuna,85.3265957,91.6588855
kevin rivas,Kevin Rivas,24.39639,26.5031914
omar alfonzo,Omar Alfonzo,76.3035766,46.4567398
heins brito,Heins Brito,2.76584015,4.28447369
brennan milone,Brennan Milone,81.3657631,90.1593587
tyler payne,Tyler Payne,63.7937646,70.3230932
eliezer rivero,Eliezer Rivero,-3.5870611,0.47531085
shengen lin,Sheng-En Lin,5.26173968,-17.157307
erick bautista,Erick Bautista,10.5283734,17.0346556
yoander santana,Yoander Santana,10.0598286,-9.8307017
reivaj garcia,Reivaj Garcia,62.4290671,67.7663367
patrick winkel,Patrick Winkel,70.2948762,40.8845543
shawn goosenberg,Shawn Goosenberg,67.3644327,74.9780417
dereck salom,Dereck Salom,38.4841005,44.5191014
kenny fenelon,Kenny Fenelon,3.01230177,8.39027736
ariel lebron,Ariel Lebron,12.2364296,16.6590214
enmanuel corniel,Enmanuel Corniel,2.69876494,-17.905987
trenton brooks,Trenton Brooks,96.2632791,71.8065046
eddy perez,Eddy Perez,-14.343523,-11.675257
asbel gonzalez,Asbel Gonzalez,41.8153169,45.7735221
victor arias,Victor Arias,87.3322983,58.5576052
braylin tavera,Braylin Tavera,31.7505196,38.7106873
andy perez,Andy Perez,50.7546574,28.7976305
gunnar henderson,Gunnar Henderson,145.280447,109.675129
donte grant,Donte Grant,10.2393847,-10.308456
luis baez,Luis Baez,71.9368636,80.4544803
chris brito,Chris Brito,55.6162793,63.6928191
minho kang,Minho Kang,74.1370495,80.1695532
ahbram liendo,Ahbram Liendo,54.6860962,61.714419
bryan de la cruz,Bryan De La Cruz,79.902374,89.8719508
andrew pintar,Andrew Pintar,66.4769544,74.2968559
albert feliz,Albert Feliz,27.9293611,36.2543284
jakob marsee,Jakob Marsee,103.821558,82.8077011
arol vera,Arol Vera,44.1013438,46.8408438
leonel valera,Leonel Valera,66.4025064,73.4881189
eduardo acevedo,Eduardo Acevedo,13.033971,-6.7753391
kevin mcgonigle,Kevin McGonigle,121.32654,88.6515265
pedro pages,Pedro Pages,83.6784484,90.5665074
heriberto hernandez,Heriberto Hernandez,90.5238743,100.003571
aaron salazar,Aaron Salazar,-8.9823037,-4.1276678
jhonny pereda,Jhonny Pereda,86.4513346,95.4623252
kleimir lemos,Kleimir Lemos,15.0236736,18.3661574
carlos blanco,Carlos Blanco,7.46653738,-11.184118
aidan smith,Aidan Smith,51.3432803,60.0058977
norichika aoki,Norichika Aoki,77.8613153,51.953174
modeifi marte,Modeifi Marte,54.1446067,60.5255702
josh smith,Josh Smith,106.416241,79.9510017
beau brewer,Beau Brewer,48.0117929,53.4399448
roderick arias,Roderick Arias,33.6726416,34.5206548
eddie micheletti,Eddie Micheletti,81.0986087,51.6235592
jake gatewood,Jake Gatewood,53.4302788,61.7885469
ichiro cano,Ichiro Cano,31.6521363,6.6998718
collin price,Collin Price,63.7933895,72.2321848
manuel margot,Manuel Margot,72.7275538,82.8288318
antonis macias,Antonis Macias,61.541494,38.8667379
ripken reyes,Ripken Reyes,72.3573916,67.7536679
wilder dalis,Wilder Dalis,40.6834065,43.0636011
levi jordan,Levi Jordan,72.548883,80.7818754
greg deichmann,Greg Deichmann,69.9253426,43.5802428
chase adkison,Chase Adkison,56.1605324,61.9612866
andy mata,Andy Mata,9.09310071,-11.278665
yohel pozo,Yohel Pozo,96.8307961,104.295149
jimmy obertop,Jimmy Obertop,34.1458328,41.5610629
manny machado,Manny Machado,119.006163,131.462032
javier mogollon,Javier Mogollon,37.6283234,44.0048403
harold gonzalez,Harold Gonzalez,20.6924348,26.796688
steven madero,Steven Madero,13.9342083,-6.9551608
dru baker,Dru Baker,69.0806271,75.9643492
jose bericoto,Jose Bericoto,-1.1190796,4.1152952
carlos bello,Carlos Bello,0.97484397,5.70245494
willmer de la cruz,Willmer De La Cruz,23.9295364,26.585755
antonio anderson,Antonio Anderson,35.278092,38.4161058
alek thomas,Alek Thomas,93.4466669,70.3237671
jelson coca,Jelson Coca,-4.7723279,-0.5853002
roque salinas,Roque Salinas,44.188153,22.4592866
aaron parker,Aaron Parker,47.460652,53.8598742
anderson tovar,Anderson Tovar,8.51763647,12.4605712
spencer bramwell,Spencer Bramwell,39.858102,47.6130652
jordyn adams,Jordyn Adams,56.6753581,67.5304717
alejandro kirk,Alejandro Kirk,118.833029,125.559368
forrest wall,Forrest Wall,84.2025447,61.8403772
jace peterson,Jace Peterson,79.2785162,53.3554588
kale emshoff,Kale Emshoff,57.7290381,66.387479
pedro roque,Pedro Roque,8.82839462,13.5592898
matt whatley,Matt Whatley,44.8326885,51.334939
reed trimble,Reed Trimble,84.6924627,84.7825934
thairo estrada,Thairo Estrada,84.8138536,91.2150764
cody miller,Cody Miller,38.1730379,43.9765809
pedro dalmagro,Pedro Dalmagro,14.8475079,-4.3180407
anthony donofrio,Anthony Donofrio,50.7817882,24.9153567
hector ramos,Hector Ramos,5.89945278,7.82651772
facundo velasquez,Facundo Velasquez,4.0539651,5.92310355
ezequiel tovar,Ezequiel Tovar,89.2868298,95.8256716
darrien miller,Darrien Miller,79.2002631,49.678459
matthew etzel,Matthew Etzel,89.0582479,58.4854292
ben metzinger,Ben Metzinger,36.4602504,44.4805101
andres valor,Andres Valor,34.3944532,40.4138954
sean roby,Sean Roby,69.5680977,79.3487512
franchely silverio,Franchely Silverio,-3.3485396,1.06806911
rhylan thomas,Rhylan Thomas,98.8362527,78.7579255
alex acosta,Alex Acosta,8.55390259,13.3871467
juan guerrero,Juan Guerrero,71.7067457,77.9931671
jesus pinto,Jesus Pinto,32.1805025,38.7254825
luis steven king,Luis Steven King,9.88946773,13.6423534
jose ramos,Jose Ramos,71.9842931,81.754751
francisco acuna,Francisco Acuna,70.8255268,77.1585785
luke scherrer,Luke Scherrer,20.0309485,25.0905797
jacob stallings,Jacob Stallings,66.1542546,70.6817145
dillon dingler,Dillon Dingler,93.1081259,103.764288
chase delauter,Chase DeLauter,112.770531,80.0554692
jackson castillo,Jackson Castillo,81.1731767,51.9873849
john taylor,John Taylor,48.6526254,27.701295000000002
luis quesada,Luis Quesada,15.4409357,21.0888517
reinaldo de la cruz,Reinaldo De La Cruz,7.24941231,11.484603
lucius fox,Lucius Fox,59.270422,68.4444981
manuel de cesare,Manuel De Cesare,4.35900839,9.4520045
yoneiker lugo,Yoneiker Lugo,15.1283976,20.3072429
ethan long,Ethan Long,40.518618,48.1572491
moises lopez,Moises Lopez,11.6602142,-11.14809
carlos tavares,Carlos Tavares,26.9688532,3.89430666
ramy peralta,Ramy Peralta,2.17723359,7.08695611
joan delgado,Joan Delgado,2.70144752,8.78809807
diego tornes,Diego Tornes,6.71589694,8.55026209
romy gonzalez,Romy Gonzalez,100.621188,110.188451
johan rojas,Johan Rojas,78.2006357,83.1804989
freddy zamora,Freddy Zamora,61.6485598,67.8715568
yerald nin,Yerald Nin,37.2843812,18.9703924
fernando diaz,Fernando Diaz,,-13.611627
raily liriano,Raily Liriano,3.97020185,10.0303986
iverson espinoza,Iverson Espinoza,24.6488072,29.3962548
bill knight,Bill Knight,64.0141005,68.9994808
hudson haskin,Hudson Haskin,61.669206,67.886925
alexander frias,Alexander Frias,14.4332322,-6.551784
gleider figuereo,Gleider Figuereo,54.9319517,26.4120322
jordan lawlar,Jordan Lawlar,91.5952187,103.215841
konner piotto,Konner Piotto,64.2330461,37.8860875
ely brown,Ely Brown,47.6665039,22.549139
welbyn francisca,Welbyn Francisca,45.0284937,46.6752484
justin rodriguez,Justin Rodriguez,1.52010717,7.07354005
agustin ramirez,Agustin Ramirez,105.306507,110.17566
daniel campos,Daniel Campos,15.7104446,19.6114078
daniel dominguez,Daniel Dominguez,-3.1643178,2.44727481
alex rodriguez,Alex Rodriguez,27.6153682,7.48855406
cj rodriguez,CJ Rodriguez,32.7353034,38.2187615
ashton creal,Ashton Creal,54.919242,62.4548907
zach dezenzo,Zach Dezenzo,90.5116017,98.4889758
gabriel rincones,Gabriel Rincones,92.7359594,59.8242754
jeisson rosario,Jeisson Rosario,81.1087125,50.087871
camden janik,Camden Janik,37.5687539,43.2851838
samuel brito,Samuel Brito,-0.053464,4.824398
raudi rodriguez,Raudi Rodriguez,47.7877801,55.2042194
tres barrera,Tres Barrera,54.6165947,64.2763451
ben deluzio,Ben DeLuzio,58.3080064,68.661269
carlos benavides,Carlos Benavides,-2.3972639,1.85027097
mike zunino,Mike Zunino,66.3141633,85.6593867
nicandro aybar,Nicandro Aybar,18.0443458,19.7412514
moises bolivar,Moises Bolivar,6.17056725,11.3801354
juan caricipe,Juan Caricipe,-6.8798417,-3.5995594
woody hadeen,Woody Hadeen,48.6767646,48.0816167
jorge hernandez,Jorge Hernandez,31.3101447,12.8288373
damon dues,Damon Dues,82.4858909,56.3822984
alexander alzi,Alexander Alzi,-7.9143415,-3.1403747
tavian josenberger,Tavian Josenberger,80.7966568,51.3065259
jose urbina,Jose Urbina,8.53480888,13.4119873
juan corniel,Juan Corniel,44.8949109,48.6860966
henry ramos,Henry Ramos,35.224318,12.9201807
evan mendoza,Evan Mendoza,67.2114782,74.1826516
noah myers,Noah Myers,76.8771781,46.7168978
carlos silva,Carlos Silva,4.42776998,9.71778209
bryan acuna,Bryan Acuna,25.4092667,31.7529123
ronaldo hernandez,Ronaldo Hernandez,74.9736494,81.959193
nick fortes,Nick Fortes,79.9625303,88.0308332
solomon maguire,Solomon Maguire,30.2248253,5.65246278
jose azocar,Jose Azocar,67.576784,75.3555574
caden connor,Caden Connor,87.7851731,60.0160082
edward guribe,Edward Guribe,14.3867675,18.6842845
ildemaro vargas,Ildemaro Vargas,88.9517365,90.8258773
justin johnson,Justin Johnson,63.0758271,69.6159741
yordani martinez,Yordani Martinez,8.36888283,12.728186
santiago almao,Santiago Almao,19.9049994,21.0925726
erick lara,Erick Lara,3.86329609,-13.289892
jancarlos cintron,Jancarlos Cintron,60.7009409,65.5520332
ramon ramirez,Ramon Ramirez,44.9289622,51.8899855
johnfrank salazar,Johnfrank Salazar,51.0616144,56.6756953
monte harrison,Monte Harrison,60.6244321,73.1415372
victor diaz,Victor Diaz,21.4771135,27.9038671
rougned odor,Rougned Odor,88.220273,62.7239317
trevor larnach,Trevor Larnach,113.380358,82.1612246
ethan lege,Ethan Lege,26.8668347,31.724397
brady lindsly,Brady Lindsly,56.7143049,30.6380933
owen carey,Owen Carey,48.497548,27.2077339
eduardo tait,Eduardo Tait,64.1927247,37.32091
armstrong muhoozi,Armstrong Muhoozi,4.87121914,9.07386732
jake deleo,Jake DeLeo,38.2799069,44.8575018
will smith,Will Smith,117.576545,129.24157
travis swaggerty,Travis Swaggerty,80.7207157,54.4991967
marlon quintero,Marlon Quintero,26.3412042,31.3638996
gilberto jimenez,Gilberto Jimenez,42.5220522,46.4410597
leudy arache,Leudy Arache,0.80384529,-19.397291
carlos arroyo,Carlos Arroyo,26.3109615,30.7062614
brody moore,Brody Moore,56.9546206,62.9799929
arismendy alcantara,Arismendy Alcantara,74.0703755,75.5964242
michael conforto,Michael Conforto,103.226824,81.2930831
ben mclaughlin,Ben McLaughlin,101.071009,70.4136916
jarred kelenic,Jarred Kelenic,88.1979136,61.9602141
josh breaux,Josh Breaux,60.5137408,68.2561657
matthew wood,Matthew Wood,84.3767226,57.063608
maximo acosta,Maximo Acosta,75.0556367,83.0334472
jaxx groshans,Jaxx Groshans,33.039104,40.0673523
erny orellana,Erny Orellana,12.3055542,17.3743522
omar hernandez,Omar Hernandez,48.3126162,54.3469315
jose perez,Jose Perez,41.8892386,39.2642092
yoiber ocopio,Yoiber Ocopio,27.7329518,32.9063749
ronny suarez,Ronny Suarez,-1.5017749,3.82680764
jose ferrer,Jose Ferrer,9.72449007,15.0505959
jack pineda,Jack Pineda,67.4058589,43.2358584
diego arce,Diego Arce,-14.273202,-10.253673
will simpson,Will Simpson,72.6264357,81.1969965
anielson buten,Anielson Buten,7.98265972,13.6231149
erick de la cruz,Erick De La Cruz,24.7440793,30.7346797
greg allen,Greg Allen,73.9205663,74.6569463
cam gallagher,Cam Gallagher,41.6430027,52.2686615
luis hernandez,Luis Hernandez,-13.033454,-30.069048
juan rujano,Juan Rujano,5.46044382,9.79923621
john mchenry,John McHenry,31.2946224,31.5357349
marcos torres,Marcos Torres,45.2966339,19.0631953
walker martin,Walker Martin,42.8139619,18.7232041
tyler hardman,Tyler Hardman,59.7981818,70.0517303
charles mcadoo,Charles McAdoo,76.4229508,85.5010661
samuel salcedo,Samuel Salcedo,-4.0581847,-0.189067
herard gonzalez,Herard Gonzalez,50.8097482,51.946434
maxwell romero,Maxwell Romero,54.7525043,26.9894046
raynier ramirez,Raynier Ramirez,6.20705892,11.3869725
robert hasselli,Robert HassellI,88.5310427,67.9735806
jared dickey,Jared Dickey,89.9420885,61.2485948
drake baldwin,Drake Baldwin,124.12599,103.467988
andrews sosa,Andrews Sosa,4.63628822,9.74280405
miguel hernandez,Miguel Hernandez,61.3958808,67.3532347
adrian gil,Adrian Gil,22.4574764,28.820396
kadil rubio,Kadil Rubio,-1.7149238,1.52626595
justin crawford,Justin Crawford,101.426465,73.4092065
canyon brown,Canyon Brown,35.0463145,40.5234431
harold rivas,Harold Rivas,11.4717701,17.3388934
andrew pinckney,Andrew Pinckney,72.4642697,80.0503223
spencer packard,Spencer Packard,97.605014,69.5556316
kekai rios,Kekai Rios,52.3578255,59.0987568
wuilfredo antunez,Wuilfredo Antunez,93.1123032,62.4774178
zack gelof,Zack Gelof,84.5789829,88.7673003
greg jones,Greg Jones,59.8241317,63.4774761
johanfran garcia,Johanfran Garcia,47.0897642,54.1879716
ivan herrera,Ivan Herrera,124.984625,136.53074
boston baro,Boston Baro,49.3579577,28.820227
drew ehrhard,Drew Ehrhard,74.6361204,81.5738995
andres nolaya,Andres Nolaya,23.922597,29.1630333
austin shenton,Austin Shenton,94.6561573,65.7054296
randy guzman,Randy Guzman,37.7077091,44.7890118
alfredo guanchez,Alfredo Guanchez,14.2786078,15.5392499
chuckie robinson,Chuckie Robinson,58.016679,66.0238933
jeremy rivas,Jeremy Rivas,55.1473153,61.2237149
jose pirela,Jose Pirela,29.4489286,5.97647577
brandon nimmo,Brandon Nimmo,124.254947,96.6492388
kameron misner,Kameron Misner,83.8806553,59.2756147
mitchell tolman,Mitchell Tolman,91.2624085,62.6175512
eliezer alfonzo,Eliezer Alfonzo,70.0842008,70.8491046
esteban mejia,Esteban Mejia,42.9950905,49.6255297
david freitas,David Freitas,-11.884953,
ludwin tejada,Ludwin Tejada,,-7.9361757
noah campbell,Noah Campbell,72.5781277,72.8711109
geonchang seo,Geonchang Seo,71.7375075,49.1430256
ruben cardenas,Ruben Cardenas,87.3697906,95.0731035
moises polanco,Moises Polanco,18.5774225,24.395694
kevin alcantara,Kevin Alcantara,79.3164625,92.3772826
alexander benua,Alexander Benua,31.1285012,37.3817352
kai murphy,Kai Murphy,74.2860142,48.2826345
tatem levins,Tatem Levins,75.9689298,46.0101738
alex jackson,Alex Jackson,74.146607,85.7207059
anthony volpe,Anthony Volpe,90.5112733,102.407232
yirer garcia,Yirer Garcia,31.8506802,37.0706693
eduardo guillen,Eduardo Guillen,1.48568844,-19.212567
jarold montealto,Jarold Montealto,0.46280616,3.25263195
santiago martinez,Santiago Martinez,10.0924367,15.4439966
daniel mielcarek,Daniel Mielcarek,3.76873612,5.00301297
triston casas,Triston Casas,117.530493,93.7686425
pete alonso,Pete Alonso,128.581729,133.769313
tre morgan,Tre' Morgan,101.419921,70.3123967
haydn mcgeary,Haydn McGeary,68.8358079,77.9070578
mel rojas,Mel Rojas,93.3555496,92.5884888
anthony vilar,Anthony Vilar,66.536697,38.1748367
estarling mercado,Estarling Mercado,56.3875076,28.9129077
eduardo guerrero,Eduardo Guerrero,63.8609549,64.1581275
cristopher navarro,Cristopher Navarro,46.2140794,52.1643998
yosy galan,Yosy Galan,44.9907249,52.5476986
kalai rosario,Kala'i Rosario,85.0668207,95.0905433
evan edwards,Evan Edwards,75.5564947,44.3624447
anthony garcia,Anthony Garcia,57.2577302,56.255302
colin moran,Colin Moran,86.255736,58.151857
nick biddison,Nick Biddison,43.2872916,50.2628183
jonah advincula,Jonah Advincula,92.3579546,62.8903818
chinghsien ko,Ching-Hsien Ko,48.1433911,22.6499219
luis pineda,Luis Pineda,32.5406588,39.1454333
jorel ortega,Jorel Ortega,64.7577905,72.7485548
benjamin blackwell,Benjamin Blackwell,29.7069953,35.0242874
luis maza,Luis Maza,,-8.609013
owen caissie,Owen Caissie,108.258723,77.476439
taylor trammell,Taylor Trammell,96.6065546,70.6231109
esteury ruiz,Esteury Ruiz,90.9492226,100.499173
jhon imbert,Jhon Imbert,13.5695132,20.3777821
jake rucker,Jake Rucker,70.3214418,76.8784007
bryce rainer,Bryce Rainer,43.0515235,19.5846797
marcelo mayer,Marcelo Mayer,101.361612,77.7956661
stevie berman,Stevie Berman,70.0912588,78.5779391
justin boyd,Justin Boyd,51.3197054,59.4392527
rainer espinoza,Rainer Espinoza,9.27145476,14.964726
bryan torres,Bryan Torres,106.356976,80.1166006
tevin tucker,Tevin Tucker,31.1097906,37.6178812
yeuni munoz,Yeuni Munoz,31.7658905,38.5652796
jackson nicklaus,Jackson Nicklaus,32.6690649,5.50340258
braylen wimmer,Braylen Wimmer,77.7198538,85.1151732
marco soto,Marco Soto,28.2527937,32.2462757
merphy hernandez,Merphy Hernandez,19.3257179,-2.1671525
tristin english,Tristin English,77.5827546,86.5461026
zach kokoska,Zach Kokoska,72.4371516,41.3657321
romtres cabrera,Romtres Cabrera,4.66597856,9.69682974
cam magee,Cam Magee,21.7629711,2.01900422
dashawn keirsey,DaShawn Keirsey,78.5504158,53.0347428
jaeho kim,Jaeho Kim,65.7134574,70.8311841
brady house,Brady House,82.5636779,90.1642819
zander darby,Zander Darby,55.1614449,30.2384946
jesmaylin arias,Jesmaylin Arias,8.10356912,-11.954699
juan centeno,Juan Centeno,62.8393116,38.3308169
gustavo baptista,Gustavo Baptista,13.9282598,-8.9316047
ramon landaeta,Ramon Landaeta,-0.6984407,5.4429359
cam collier,Cam Collier,82.7985646,51.0124006
tt bowens,TT Bowens,67.8209821,76.9004464
john santana,John Santana,11.6876377,-9.6966946
elian rayo,Elian Rayo,30.3937165,37.2612718
sammy hernandez,Sammy Hernandez,39.8018221,44.7835429
mike ford,Mike Ford,87.0350215,56.6156166
christian cerda,Christian Cerda,83.510775,91.8957734
miles mastrobuoni,Miles Mastrobuoni,95.6662724,77.7102408
will benson,Will Benson,98.0095108,71.980519
cj abrams,C.J. Abrams,115.593447,83.9971624
cole carrigg,Cole Carrigg,77.5072878,78.3479901
luis mendez,Luis Mendez,32.4511411,11.0752131
david fletcher,David Fletcher,51.6400765,60.288545
cadyn grenier,Cadyn Grenier,91.350698,98.162448
scott kapers,Scott Kapers,61.3003502,67.7515697
austin allen,Austin Allen,80.4877196,52.1635598
robert brooks,Robert Brooks,47.2676934,55.5705268
hyun seung lee,Hyun Seung Lee,14.7161594,-4.3536004
trace willhoite,Trace Willhoite,50.3296242,57.0654608
ryan spikes,Ryan Spikes,57.5389692,64.7047864
israel alvarez,Israel Alvarez,3.18402399,4.90646336
jd martinez,J.D. Martinez,86.5468776,100.683031
jose cordova,Jose Cordova,69.429222,77.4348387
justin capellan,Justin Capellan,11.7555088,16.6632416
lorenzo cedrola,Lorenzo Cedrola,78.8185049,83.5648654
brendan durfee,Brendan Durfee,47.9218177,23.2343649
jeral perez,Jeral Perez,59.8856628,67.0318098
hayden gilliland,Hayden Gilliland,39.3581675,13.8601622
aaron zavala,Aaron Zavala,77.3279136,46.4804846
drew cavanaugh,Drew Cavanaugh,80.8487984,51.7235058
yhoswar garcia,Yhoswar Garcia,43.2417272,48.5942494
alexi quiroz,Alexi Quiroz,5.52005511,10.4466778
zach ehrhard,Zach Ehrhard,89.5863982,97.2938505
hudson head,Hudson Head,68.3714148,38.6236024
arxy hernandez,Arxy Hernandez,34.5122128,39.4259948
kaylan nicasia,Kay-Lan Nicasia,36.0829072,36.592473
deivis mosquera,Deivis Mosquera,8.07741307,13.2857014
baekho kang,Baek-ho Kang,100.017295,68.2588198
neurelin montero,Neurelin Montero,10.7961669,15.4234565
ghordy santos,Ghordy Santos,44.419955,47.278492
hector liriano,Hector Liriano,3.18720772,-16.622478
samuel estevez,Samuel Estevez,-6.4094814,-0.7038906
cesar mujica,Cesar Mujica,-11.421195,-7.2464114
david leon,David Leon,14.2012019,-5.94529
marcus lee sang,Marcus Lee Sang,88.9907103,57.7259585
luis encarnacion,Luis Encarnacion,60.6282104,67.843138
reynaldo de la paz,Reynaldo De La Paz,-1.6391046,3.31880304
blake robertson,Blake Robertson,53.5950763,25.9433058
thomas francisco,Thomas Francisco,50.0635427,25.2917506
jose rivas,Jose Rivas,8.56016939,13.4442971
corey dickerson,Corey Dickerson,78.8761221,48.104432
peyton stovall,Peyton Stovall,46.6604568,23.4967229
alberto rios,Alberto Rios,28.8269037,34.7183496
estivel morillo,Estivel Morillo,8.95639686,-11.157208
antoni urena,Antoni Urena,13.0030857,13.2203599
casey martin,Casey Martin,32.1830697,39.0794532
randal diaz,Randal Diaz,30.3183388,34.7926777
christofer reyes,Christofer Reyes,-1.0250394,3.57300018
browm martinez,Browm Martinez,19.4014462,24.2545886
jose pena,Jose Pena,6.61841949,11.040912
justin gonzales,Justin Gonzales,60.8910035,67.761455
eloy jimenez,Eloy Jimenez,89.285834,100.374608
connor scott,Connor Scott,73.4397963,45.8950105
moises marchan,Moises Marchan,2.25943575,6.63289048
daonil montero,Daonil Montero,-3.9431279,0.01053769
winder linares,Winder Linares,13.4701343,-7.105683
yanquiel fernandez,Yanquiel Fernandez,96.8496859,73.2552028
charles mack,Charles Mack,39.9795355,13.9180418
robert santos,Robert Santos,-9.9844343,
peyton holt,Peyton Holt,19.362679,24.5536473
jose paulino,Jose Paulino,13.196525,-8.4720231
mikey kane,Mikey Kane,45.0422837,50.4491779
