name_key,name,base_wrc_vs_r,base_wrc_vs_l
taylor jones,Taylor Jones,78.8141918,90.3429934
kyoungmin hur,Kyoung-min Hur,79.7155307,83.89844
brenner cox,Brenner Cox,32.7389197,7.86073669
feliz genao,Feliz Genao,14.1883428,-6.2286662
drew brutcher,Drew Brutcher,56.2463545,30.9044755
yainer diaz,Yainer Diaz,108.343774,115.04371
will robertson,Will Robertson,82.8365928,58.1096926
nolan schanuel,Nolan Schanuel,124.367924,104.908012
dylan carlson,Dylan Carlson,93.4075144,98.1971997
jesus fernandez,Jesus Fernandez,29.270882,33.6442473
deniel ortiz,Deniel Ortiz,61.5732459,68.9897571
heriberto rincon,Heriberto Rincon,22.3380044,27.8098675
brandon lowe,Brandon Lowe,113.195993,82.4213874
yorvit diaz,Yorvit Diaz,7.18258938,11.0063835
julio rodriguez,Julio Rodriguez,131.606914,138.598645
tyler gentry,Tyler Gentry,74.5846892,86.505827
yandy diaz,Yandy Diaz,123.363878,140.257757
brady whalen,Brady Whalen,74.8876917,46.8090329
luis marquez,Luis Marquez,42.0359774,47.0402638
branny de oleo,Branny De Oleo,10.3231803,14.0565399
ronald guzman,Ronald Guzman,98.6945149,68.1453016
jhostin genao,Jhostin Genao,19.2551688,-1.5435437
jerffson pena,Jerffson Pena,16.0189538,-5.6558367
junwoo jeon,Junwoo Jeon,84.1789611,90.2425337
carter jensen,Carter Jensen,110.782203,87.3540322
daniel robertson,Daniel Robertson,66.4904287,74.6247524
edgar mota,Edgar Mota,-8.7653697,-4.7947689
cooper bowman,Cooper Bowman,67.5774558,75.3599444
kevin guerrero,Kevin Guerrero,24.1484392,30.2678574
maick collado,Maick Collado,55.9288964,56.6344179
nicolas deschamps,Nicolas Deschamps,34.2945273,10.4611511
hoy park,Hoy Park,81.6503196,56.3607314
austin hendrick,Austin Hendrick,63.2543921,32.1634433
cooper johnson,Cooper Johnson,58.6041079,67.5984959
christopher morel,Christopher Morel,96.4588656,108.913441
clayton campbell,Clayton Campbell,28.1938757,33.816076
cedric mullins,Cedric Mullins,95.523553,73.9903707
jalen battles,Jalen Battles,43.620044,50.1597094
steven duggar,Steven Duggar,68.5621821,42.1496546
jude warwick,Jude Warwick,28.62101,9.33653619
rey cruz,Rey Cruz,-2.1167316,-0.9455086
spencer jones,Spencer Jones,94.6139243,60.4012034
willson contreras,Willson Contreras,112.332865,123.418717
ryan wrobleski,Ryan Wrobleski,54.0980324,60.641058
luis abreu,Luis Abreu,-4.7975932,-3.512909
adrian placencia,Adrian Placencia,63.7072751,63.9645049
yojancel cabrera,Yojancel Cabrera,23.0694064,2.35223419
javier mora,Javier Mora,17.477336,22.4824632
bryan lavastida,Bryan Lavastida,70.5312994,80.4210238
