name,fld,bsr
Francisco Alvarez,-0.0226575,-0.0035138
Josh Naylor,-0.0089795,0.0175
Kody Clemens,0.03497789,0.000431
Anthony Volpe,0.02275521,0.01165766
Sam Antonacci,-0.0243813,0.0030645
Austin Riley,-0.0279621,0.00250393
Jakob Marsee,0.00343467,-0.0019303
Tyler Soderstrom,-0.0172016,-0.0065221
Cam Smith,0.0681,0.00796959
Ben Williamson,0.00729129,0.00550787
Trevor Larnach,0.00669776,-0.0059861
Alex Freeland,0.02316681,0.00177029
Jake McCarthy,0.01126145,0.01865519
Nathan Lukes,0.05366533,-0.01311
Luke Raley,-0.0425755,-0.0037231
Mike Yastrzemski,0.03500014,-0.0023719
Colt Emerson,0.00741911,-0.0062284
Curtis Mead,-0.0195087,-0.0065467
Rafael Devers,-0.0123634,-0.0046987
Keibert Ruiz,-0.0147128,-0.0063419
Esteury Ruiz,0.00966206,0.0384797
Kyle Manzardo,0.01246819,-0.0031483
Colton Cowser,0.01921869,-0.0013668
Jose Altuve,-0.0580046,-0.0103495
Tyler Stephenson,0.02986618,-0.0104744
Daylen Lile,0.02147427,-0.0060113
Luis Torrens,0.06152021,-0.0042653
Carlos Narvaez,0.04847596,-0.0017736
Ryan Vilade,0.03030028,0.00031174
Carlos Cortes,-0.0409429,-0.0036573
Christian Yelich,0.00044761,0.01092927
Jackson Holliday,-0.0102228,0.00096113
Michael Massey,0.03015746,-0.0012367
Heliot Ramos,-0.0144971,-0.0049823
Jake Mangum,0.04085429,0.01977188
Jac Caglianone,-0.026106,-0.00366
Dominic Canzone,-0.0081825,-0.0057971
Joey Ortiz,0.04413715,-0.0063964
Kyle Karros,0.04415913,0.0015438
Angel Martinez,0.04560169,0.00539089
Luis Robert,0.01758563,0.00016373
Lars Nootbaar,0.03440412,-0.0068762
Ryan McMahon,0.03661534,-0.000386
Endy Rodriguez,0.00798307,-4.53e-05
Carson Benge,0.0152461,0.0095
Pedro Pages,0.05506971,0.00257153
Austin Martin,0.02634106,-0.0075999
Darell Hernaiz,0.01857615,0.00269669
Daniel Susac,0.02570099,-0.0114978
Blake Dunn,0.02377989,0.01046791
Jorge Mateo,0.01297656,0.02322708
Ramon Laureano,0.01526318,0.00238862
Blaze Alexander,-0.0130228,0.000283
Spencer Torkelson,-0.0187388,-0.0069472
Michael Stefanic,0.05310839,-0.0133601
Brent Rooker,-0.0005,0.00268597
Joe Mack,0.04888411,-0.0022978
TJ Rumfield,0.0292407,-0.0056775
Kyle Higashioka,-0.0041457,-0.0039796
Austin Wells,-0.006492,-0.0019989
Alex Call,0.02444908,-0.0094009
Adolis Garcia,0.05656932,0.00280702
Kyle Isbel,0.03241692,0.00622176
A.J. Ewing,0.011557,0.0188
Jordan Lawlar,0.03989554,0.01291538
Patrick Bailey,0.10712368,0.00296097
Miguel Rojas,0.07169922,-0.0053925
Nathaniel Lowe,-0.0109537,-0.0052776
Troy Johnston,-0.0058541,-0.0028748
Andrew Vaughn,-0.0218541,-0.004959
David Hamilton,-0.0189758,0.02386566
Brett Baty,0.00167459,-0.0027093
Carter Jensen,-0.0051634,-0.0007423
Joey Wiemer,0.02375062,0.00249697
Parker Meadows,0.03898634,0.01552423
Marcus Semien,-0.0096943,-0.0007648
Garrett Mitchell,-0.0132885,-0.0114073
Jace Jung,0.01966409,-0.0067351
Javier Sanoja,0.00950481,-0.0058454
Caleb Durbin,0.03985051,0.0037599
Jhonny Pereda,-0.0050734,-0.0034669
Danny Jansen,0.00169983,-0.0066999
Joey Loperfido,0.02922,-0.0048024
Max Muncy,0.00185274,-0.0070859
Joc Pederson,-0.0053864,-0.0043679
Coby Mayo,-0.0073225,-0.0018403
Yainer Diaz,-0.0269164,-0.010679
Ildemaro Vargas,0.02706165,-0.0016077
Luke Keaschall,-0.0352978,0.00937213
Gabriel Arias,0.03690542,-0.0050309
Miguel Amaya,-0.0122,-0.004306
Jared Young,-0.0016539,-0.00342
Ryan Ward,0.04701535,-0.0031581
Brooks Lee,-0.0615107,-0.0027532
Jesus Sanchez,-0.0302595,-0.0021085
Christian Vazquez,0.00920966,-0.0049712
Jimmy Crooks,0.025426,-0.0032882
Chandler Simpson,0.04936986,0.00931842
Vaughn Grissom,-0.0251184,-0.0008367
Jonny DeLuca,0.04021535,0.00748069
Matt Shaw,0.00366751,0.00503244
Ryan Ritter,0.03303635,-0.0019039
Dane Myers,-0.0228503,0.00764418
Brandon Lockridge,0.02153682,0.02659591
Austin Hedges,0.05068432,-0.0076512
Jake Meyers,0.04811828,-0.0091853
Nolan Schanuel,0.01207954,-0.0070284
Kyle Stowers,0.01773063,-0.0060993
Alec Bohm,-0.0224399,-0.00424
Gavin Sheets,-0.0415513,0.00082512
Samad Taylor,-0.0131177,0.01485232
Tristan Gray,-0.0105684,0.00041836
Dominic Smith,0.00866724,-0.0020099
Jose Siri,0.08308288,-0.0051325
Andres Chaparro,0.05148865,-0.0017582
Isiah Kiner-Falefa,0.0317,0.00549578
Chase DeLauter,-0.0189817,-0.0064029
Sean Murphy,0.0526024,-0.0042186
Justin Foscue,0.00809234,-0.0032041
Taylor Walls,0.014662,0.0051613
Taylor Trammell,-0.028834,0.00271147
Colby Thomas,0.00240556,-0.00953
Wade Meckler,-0.0282503,0.0035348
Gabriel Gonzalez,-0.0043183,-0.007176
Eric Haase,-0.0065804,-0.0014235
Jeff McNeil,-0.0397386,-0.0095428
Bryan Torres,-0.0540476,0.00146827
Sal Frelick,0.02767048,0.00089667
Rodolfo Duran,0.0464,-0.0006163
Griffin Conine,0.0356,0.00251048
Jake Burger,0.00401285,-0.0028839
Sung-Mun Song,0.00946434,0.00161214
Jonah Heim,0.0098609,-0.0015478
Rhys Hoskins,-0.0383617,-0.004864
Dylan Beavers,-0.044082,0.00146313
Brice Matthews,0.02095944,-0.0028231
Lane Thomas,-0.017149,-0.0086032
Justin Crawford,-0.040427,0.01169622
Connor Wong,-0.0411896,-0.0021195
Jasson Dominguez,-0.0098807,0.01550957
Hyeseong Kim,-0.0048246,0.0208
Jake Rogers,0.0649194,0.00081242
Joey Bart,-0.0096397,-0.0056897
Connor Norby,0.03615542,-0.0024185
Dylan Crews,0.05296403,0.00877843
Jesus Rodriguez,-0.0578766,-0.0084072
J.C. Escarra,0.02046595,-0.0038623
Charles McAdoo,-0.0009466,0.00864621
Kerry Carpenter,-0.0586323,-0.0055581
Will Benson,-0.0004427,-0.0036093
Addison Barger,0.04270095,-0.0042218
Jeremiah Jackson,-0.0117187,-0.0073442
Nick Sogard,-0.0039178,-0.0017983
Pedro Ramirez,0.05430427,-0.0029284
Jorbit Vivas,0.00881274,-0.0093783
Spencer Jones,-0.0331845,0.00929055
Drew Romo,-0.0099182,-0.0014747
Nolan Gorman,0.01352214,-0.0075661
Vinnie Pasquantino,-0.00391,-0.0004029
Victor Caratini,-0.0110043,-0.004184
Brett Harris,0.04139745,-0.003302
Luis Garcia,-0.0115667,-0.002239
Ezequiel Tovar,0.02460855,0.00249622
Jeferson Quero,0.0185871,-0.0003269
Colt Keith,-0.0098661,-0.0008114
Willi Castro,-0.0243952,-0.0109177
Sam Huff,0.02687,-0.0039521
Dustin Harris,-0.0109667,0.01995115
Hunter Feduccia,-0.0519777,-0.00334
Jonathan India,-0.0665847,-0.0079267
Richie Palacios,-0.0318279,-0.0027714
Agustin Ramirez,-0.0574313,0.0047441
Everson Pereira,-0.0113961,0.00266169
Eugenio Suarez,-0.0060278,-0.003897
Cedric Mullins,0.01276889,0.00376801
Gary Sanchez,-0.0465634,-0.00443
Jake Cronenworth,-0.0168855,-0.00272
Tyler Black,-0.0226841,0.00805808
Mitch Garver,-0.0286405,-0.0021766
Bryce Eldridge,-0.0073841,-0.0056151
Travis d'Arnaud,0.02589642,-0.0036117
Ryan Kreidler,-0.0036817,-0.0138872
Ronny Mauricio,0.01424394,0.00396178
Josh Smith,-0.0475741,-0.0029086
Alex Jackson,0.00790774,-0.0013953
Oliver Dunn,0.04860944,0.00542747
Tyler Tolbert,0.03872848,0.0347419
Tyler Freeman,0.00292885,-0.0021192
Derek Hill,0.01630505,-0.0049936
Jose Fermin,-0.0122983,0.00352455
Jonah Cox,0.01867288,0.02415455
Nick Allen,0.03745593,-0.0020527
Jose Azocar,0.02424905,0.00784
Brady House,-0.0213202,-0.0030351
CJ Kayfus,-0.0329949,-0.003428
Shay Whitcomb,0.01570468,0.00343258
Max Schuemann,-0.0269844,-0.0044619
George Springer,0.0,-0.0016038
Michael Conforto,-0.0309,-0.0005053
Leo Rivas,0.01647272,0.01023049
Mickey Gasper,-0.0266983,-0.0087868
Davis Schneider,0.00327614,0.00019776
Jared Triolo,0.0148152,0.00163031
Nick Fortes,0.00252285,-0.00365
Johnathan Rodriguez,-0.0282564,-0.0077141
Ryan Bliss,0.04717875,-0.0056444
Jared Oliva,0.05655554,0.03557589
Logan O'Hoppe,-0.0472842,-0.0053721
Ryan Mountcastle,0.00256441,0.00019329
Victor Robles,0.04698385,0.00319
Brenton Doyle,0.03631083,0.01603149
Victor Mesa,0.0559677,-0.0032039
Nathan Church,0.00368823,-0.000858
Alek Thomas,0.01995564,0.00821
Alejandro Osuna,-0.0340711,-0.00392
Masataka Yoshida,-0.0203488,0.00106561
Trevor Story,-0.0291628,0.019111
Nick Madrigal,0.06709468,-0.0120076
Zack Short,0.00819422,-0.0063591
Giancarlo Stanton,0.0,-0.0006521
