name_key,name,fld_proj_pg,bsr_proj_pg
logan porter,Logan Porter,-0.0195245,-0.0030489
rowdy tellez,Rowdy Tellez,-0.0207092,-0.0020305
chadwick tromp,Chadwick Tromp,-0.0213677,-0.0018179
jj bleday,JJ Bleday,-0.0215001,-0.0103768
pj higgins,P.J. Higgins,-0.021695,-0.006434
tyler black,Tyler Black,-0.0220962,0.00659649
blake hunt,Blake Hunt,-0.0228961,-0.0016058
luke maile,Luke Maile,-0.0248998,0.00232198
sterlin thompson,Sterlin Thompson,-0.025132,-0.0047595
andy ibanez,Andy Ibanez,-0.0272596,-0.0019381
reese mcguire,Reese McGuire,-0.0274479,-0.0022231
connor joe,Connor Joe,-0.0274562,0.00291713
cody freeman,Cody Freeman,-0.0296816,-0.00481
dylan moore,Dylan Moore,-0.0306404,0.01083574
jhostynxon garcia,Jhostynxon Garcia,-0.0306659,-0.0022209
collin price,Collin Price,-0.0325261,-0.00221
tyler callihan,Tyler Callihan,-0.0326058,0.0037
patrick wisdom,Patrick Wisdom,-0.0328571,-0.00168
donovan walton,Donovan Walton,-0.0332179,-0.0053236
cesar prieto,Cesar Prieto,-0.035713,-0.0154686
austin hays,Austin Hays,-0.0361229,-0.00972
johnathan rodriguez,Johnathan Rodriguez,-0.0366357,-0.0077
josh rojas,Josh Rojas,-0.0377017,0.00109014
christian moore,Christian Moore,-0.0387207,-0.0142897
eric haase,Eric Haase,-0.03903,-0.0017805
will wagner,Will Wagner,-0.0407019,-0.0070623
braden shewmake,Braden Shewmake,-0.0408841,0.0036
enrique hernandez,Enrique Hernandez,-0.0426823,-0.0056099
juan brito,Juan Brito,-0.043529,-0.0096545
victor bericoto,Victor Bericoto,-0.0455367,-0.0187143
cj kayfus,CJ Kayfus,-0.048007,-0.0036041
anthony seigler,Anthony Seigler,-0.0489548,0.01020212
trei cruz,Trei Cruz,-0.0527997,-0.0089763
eliezer alfonzo,Eliezer Alfonzo,-0.0531463,-0.0074433
george valera,George Valera,-0.0538128,-0.0056813
kyler fedko,Kyler Fedko,-0.0609465,-0.0069747
raynel delgado,Raynel Delgado,-0.0609589,0.002549
cameron cauley,Cameron Cauley,-0.0639346,0.00427424
weston wilson,Weston Wilson,-0.0643018,0.00491716
omar martinez,Omar Martinez,-0.0658894,-0.0057127
cooper ingle,Cooper Ingle,-0.0691949,-0.0094379
joey meneses,Joey Meneses,-0.0704093,-0.0034547
noelvi marte,Noelvi Marte,-0.0712608,0.00365689
jesus rodriguez,Jesus Rodriguez,-0.0728647,-0.00986
andruw monasterio,Andruw Monasterio,-0.0778246,-0.0127663
gage workman,Gage Workman,-0.0824933,-0.0011
rafael flores,Rafael Flores,-0.0895627,-0.0014547
otto kemp,Otto Kemp,-0.0944185,-0.0056671
jeimer candelario,Jeimer Candelario,-0.0968097,-0.0066697
christian franklin,Christian Franklin,-0.0449492,-0.0045055
kristian robinson,Kristian Robinson,-0.0538983,0.00398256
walker jenkins,Walker Jenkins,-0.0572583,0.0058273
andrew pintar,Andrew Pintar,-0.0637419,0.00915858
jacob berry,Jacob Berry,-0.0756702,0.00036128
riley adams,Riley Adams,-0.104,-0.0014231
name,Name,,
triston casas,Triston Casas,-0.0125533,-0.0070216
justynhenry malloy,Justyn-Henry Malloy,-0.0178397,-0.00835
leo de vries,Leo De Vries,-0.0219375,-0.0114919
kristian campbell,Kristian Campbell,-0.0247139,-0.0065164
gavin lux,Gavin Lux,-0.0250924,-0.0058322
tyler wade,Tyler Wade,-0.0257727,0.005745
jose miranda,Jose Miranda,-0.0272432,-0.0066026
cavan biggio,Cavan Biggio,-0.0280094,-0.008089
gustavo campero,Gustavo Campero,-0.0292979,0.00616195
adael amador,Adael Amador,-0.0294051,-0.006237
bryan de la cruz,Bryan De La Cruz,-0.0308571,-0.0011883
kemp alderman,Kemp Alderman,-0.0319091,-0.0123236
mark canha,Mark Canha,-0.032076,-0.0002013
akil baddoo,Akil Baddoo,-0.033,0.00841827
jett williams,Jett Williams,-0.0420457,-0.0007957
korey lee,Korey Lee,-0.0432,-0.0012855
andrew knizner,Andrew Knizner,-0.04752,-0.0108297
matt thaiss,Matt Thaiss,-0.059,-0.0010376
matthew lugo,Matthew Lugo,-0.0605508,-0.0091539
tom murphy,Tom Murphy,-0.1317362,-0.0057779
jordan westburg,Jordan Westburg,0.03311151,-0.0063556
harry ford,Harry Ford,0.0,-0.0076405
max clark,Max Clark,0.02234,0.00449512
jon berti,Jon Berti,0.04466864,0.02127559
jesse winker,Jesse Winker,0.0,-0.0034055
emmanuel rodriguez,Emmanuel Rodriguez,0.01112954,-8.42e-05
kaelen culpepper,Kaelen Culpepper,0.02032,0.00274776
thairo estrada,Thairo Estrada,0.03206467,-0.0067913
tyler austin,Tyler Austin,0.0,-0.0012219
jose iglesias,Jose Iglesias,-0.0041671,-0.0046042
blaine crim,Blaine Crim,0.00746142,-0.0054578
dom keegan,Dom Keegan,0.0251595,-0.0061263
mike tauchman,Mike Tauchman,0.00657615,-0.0056574
tyler locklear,Tyler Locklear,0.00104878,0.00096175
johan rojas,Johan Rojas,0.0679025,0.02618813
jacob melton,Jacob Melton,0.019093,0.01448665
gio urshela,Gio Urshela,0.00811593,-0.0102424
anthony santander,Anthony Santander,0.0,-0.0044681
brock wilken,Brock Wilken,0.00776774,-0.0044656
nelson rada,Nelson Rada,0.0175172,0.00251483
aidan miller,Aidan Miller,-0.0056,0.0047998
heston kjerstad,Heston Kjerstad,0.0,-0.0067338
mason mccoy,Mason McCoy,0.0727765,0.00373003
justin turner,Justin Turner,-0.0007083,-0.0073022
rj schreck,RJ Schreck,0.02327273,-0.0043601
yohandy morales,Yohandy Morales,0.0286774,-0.0068293
chas mccormick,Chas McCormick,0.02335135,-0.0043808
george lombard,George Lombard,0.0,0.00187826
robert hasselli,Robert HassellI,-0.0075804,0.001027
tre morgan,Tre' Morgan,0.02443183,-0.0103067
luis vazquez,Luis Vazquez,0.02215383,-0.0117873
christian cairo,Christian Cairo,0.0385715,0.00693785
william bergolla,William Bergolla,0.02472728,0.00830775
willie maciver,Willie MacIver,0.0218182,0.00058254
maximo acosta,Maximo Acosta,0.01403078,-0.0038646
manuel margot,Manuel Margot,0.0,-0.0068584
josh kasevich,Josh Kasevich,-0.007604,-0.0052333
max anderson,Max Anderson,0.0524127,-0.0118
kyren paris,Kyren Paris,0.00244231,0.0161479
joshua baez,Joshua Baez,0.0488136,0.0240508
christian encarnacionstrand,Christian Encarnacion-Strand,-0.0164404,-0.0110994
tyler fitzgerald,Tyler Fitzgerald,0.036864,0.00556384
tomas nido,Tomas Nido,0.0429054,-0.0070977
trey sweeney,Trey Sweeney,0.024384,0.00067691
jonah bride,Jonah Bride,0.0354286,-0.0176643
dominic fletcher,Dominic Fletcher,0.0691696,-0.0108459
tim elko,Tim Elko,0.0181677,-0.0026581
cristian pache,Cristian Pache,0.108936,-0.0087331
vimael machin,Vimael Machin,0.0141111,-0.0039421
shane mcguire,Shane McGuire,0.0176552,-0.0059276
chris taylor,Chris Taylor,-0.0013093,-0.0013637
aj vukovich,A.J. Vukovich,0.03736067,-0.0068526
ben rortvedt,Ben Rortvedt,-0.0058851,-0.0149071
matt koperniak,Matt Koperniak,0.0509919,-0.0091336
dairon blanco,Dairon Blanco,0.0,0.0462613
seby zavala,Seby Zavala,0.0145823,-0.0023269
brandon drury,Brandon Drury,0.0,-0.0092388
james triantos,James Triantos,-0.0184407,0.011178
jared serna,Jared Serna,0.00279781,-0.0101876
garrett hampson,Garrett Hampson,0.006263,0.00565
austin barnes,Austin Barnes,-0.0116364,-0.0007169
jose herrera,Jose Herrera,0.0048,-0.0077938
hector rodriguez,Hector Rodriguez,0.0125315,-0.0100869
ethan murray,Ethan Murray,0.00379412,9.51e-05
jesus valdez,Jesus Valdez,0.0086,-0.0291568
zac veen,Zac Veen,-0.0047294,0.00291062
charlie condon,Charlie Condon,0.01710611,-0.011324
wilmer flores,Wilmer Flores,0.0,-0.0064869
