name,team,pa,power,eye,barrel,hh,osw,zsw,swstr,zone,heart_rv,shadow_rv,chase_rv,waste_rv
J.T. Realmuto,,438,17.39,5.58,5.6,39.9,30.0,65.3,11.4,48.1,-17.63974801598908,-11.305171989548478,7.283628489326306,10.093300902899237
Mike Yastrzemski,,382,19.7,4.86,6.9,41.9,26.5,59.2,9.8,49.0,-11.990310782553447,-12.024492306899822,12.80234793837921,5.2835952259171926
Dansby Swanson,,462,20.1,12.14,7.6,40.8,26.3,70.9,14.4,47.1,3.452888985511635,-26.297027165780587,11.571536939404806,9.555643332589408
Oswaldo Cabrera,,11,11.95,-11.54,0.0,42.9,28.6,68.2,8.3,61.1,-1.8032814509316417,-0.40780131728948943,-0.20876952961306433,-0.17755217558284359
Nolan Gorman,,292,23.87,8.64,10.1,42.9,32.0,69.0,18.4,47.0,-9.171840675582125,-9.802347116325283,2.554833542447459,4.826338142058148
Trevor Larnach,,433,18.38,7.36,7.5,36.7,29.7,60.3,11.8,47.0,-3.432811862367635,-4.9853839836227705,13.260657643217604,9.055766458918457
Zach McKinstry,,415,6.2,0.38,2.0,22.1,28.5,67.3,8.3,52.1,-18.605908843770244,-11.115239643200194,8.786488380289248,6.566458345142668
Anthony Volpe,,223,15.47,7.38,4.7,37.7,24.3,67.8,11.2,49.6,-5.106633696717662,-8.514521009072098,6.6697137161694995,3.5383930795987233
Paul Goldschmidt,,370,21.57,4.8,10.3,36.4,32.4,65.2,12.7,48.5,-1.0067365444925178,-10.199250185854938,7.965762141157779,7.171966660909171
Jonathan India,,58,14.19,7.06,5.7,31.4,17.9,60.0,8.9,50.6,-3.0074795101707967,-0.6280509545901515,3.0246145474946124,1.2863306679309616
Trey Mancini,,14,34.44,-5.42,18.2,45.5,40.9,85.2,12.3,55.1,-1.196364253913704,0.9068607545384328,-0.17812219875348317,0.22803147216676933
Troy Johnston,,437,12.4,5.1,2.3,37.1,36.0,70.6,12.8,47.4,-8.51701782903524,-4.883788716709452,7.7350981456640815,6.719090657427267
Greg Jones,,24,6.37,-6.45,0.0,28.6,38.9,66.6,21.0,55.6,-2.105785662421189,-1.7041503313072321,-0.8996120036884523,0.15285934221930814
A.J. Ewing,,462,19.86,8.66,7.0,42.0,26.5,68.3,11.3,47.9,-15.276188979950494,-7.071493396898946,11.580736145626036,8.006750427495204
Will Banfield,,12,3.88,-6.65,0.0,22.2,58.8,73.3,12.5,46.9,0.26161682157165966,-1.4334019148011652,-0.2269705382572514,0.0
Kahlil Watson,,91,16.12,5.43,7.1,32.1,35.3,73.5,19.2,49.0,-2.0302019101071473,-3.242879141245447,0.540091145738739,1.3896115255506294
Ryan Bliss,,10,21.23,4.83,0.0,66.7,31.8,73.9,20.0,51.1,-0.574466720720169,-0.71054577322363,-0.28757407147929015,0.08349545446071627
Ryan Kreidler,,251,19.25,7.82,8.0,37.4,29.3,75.9,16.4,49.8,2.5940701396862282,-17.217700190296423,4.81991262592917,3.9046850940120805
Mickey Moniak,,421,22.65,6.14,9.6,41.3,43.6,76.1,17.8,46.1,21.522789356040143,-16.285061533825058,-0.8812566599923035,6.009981981696967
