Player,Damage,Damage_Grade,Eye,Eye_Grade,FLD_150,FLD_Grade,BSR_150,BSR_Grade
Wade Meckler,16,C,,,0,C+,1.6,B
Wenceel Perez,18.5,C,,,-7.8,D+,2,B+
Will Benson,21.4,C+,,,0.4,C+,-0.1,C+
Will Smith,23.7,B-,14,B-,4.3,B,-2.5,D
Willi Castro,16.9,C,9.9,C-,-4.1,C-,-2.1,D+
William Contreras,21.3,C+,13.7,B-,1.4,B-,-2.6,D
Willson Contreras,28.3,B+,10.5,C,0.8,C+,-2,D+
Willy Adames,19.8,C+,11.7,C+,-9.4,D,-2.1,D+
Wilyer Abreu,24.2,B-,11.3,C,13.7,A+,-1,C
Wyatt Langford,20.7,C+,18.2,A-,13.5,A,2.6,A-
Xander Bogaerts,18.8,C+,14.7,B,6.7,B+,1.9,B+
Xavier Edwards,14.8,C-,16.4,B+,1.4,B-,1.7,B+
Yainer Diaz,18.3,C,,,-8.1,D+,-2.6,D
Yandy Diaz,21.3,C+,13.6,B-,0,C+,-1.6,C-
Yoan Moncada,19.7,C+,,,-15,D-,0,C+
Yohendrick Pinango,20.7,C+,,,-10.4,D,-0.7,C
Yordan Alvarez,33.4,A,11.3,C,-10,D,-2.2,D+
Zach Cole,,,,,1.6,B-,0.8,B
Zach Dezenzo,,,,,-0.9,C,2.1,B+
Zach McKinstry,10.3,D+,13.1,B-,6.2,B+,-1.5,C-
Zach Neto,25.6,B,8.7,C-,-6.9,D+,-1.7,D+
Zack Gelof,20.5,C+,16.9,B+,3.7,B,2.8,A-
