Player,Damage,Damage_Grade,Eye,Eye_Grade,FLD_150,FLD_Grade,BSR_150,BSR_Grade
Corbin Carroll,25.8,B,13.4,B-,9.7,A-,3.5,A
Corey Seager,27.1,B,19,A-,2.8,B-,-1.2,C-
Curtis Mead,22.6,B-,13.3,B-,-9.7,D,-1,C
Dalton Rushing,23.9,B-,15.6,B+,-9.3,D,0,C+
Dane Myers,19,C+,,,-4.8,C-,3,A-
Daniel Schneemann,19,C+,11.9,C+,10,A,-0.8,C
Daniel Susac,12.6,C-,,,9.7,A-,-1.7,D+
Danny Jansen,18.3,C,,,0.8,C+,-1.8,D+
Dansby Swanson,21.7,C+,15.9,B+,10.6,A,4,A
Darell Hernaiz,9.9,D+,,,3.4,B,0.2,B-
Daulton Varsho,17.1,C,9.3,C-,2.5,B-,1.9,B+
David Fry,17.8,C,,,-2,C,-0.8,C
David Hamilton,13.8,C-,11.5,C+,-1.8,C,3.8,A
Davis Schneider,24,B-,,,-2.9,C,0.6,B-
Daylen Lile,17.7,C,9.5,C-,5.6,B,-0.4,C+
Denzer Guzman,17.4,C,,,,,,
Derek Hill,21.1,C+,,,9.3,A-,0.9,B
Dillon Dingler,25.2,B,9.7,C-,6.8,B+,-0.4,C+
Dominic Canzone,29.8,B+,12.3,C+,0.3,C+,-0.9,C
Dominic Smith,19,C+,13.5,B-,0.4,C+,-1.2,C-
Donovan Walton,18.9,C+,,,,,,
Drake Baldwin,30.7,A-,9.3,C-,-5.8,D+,-1.5,C-
Drew Gilbert,13,C-,14,B-,-3.4,C-,-2.9,D
Drew Millas,11.3,D+,,,-2.9,C,-3,D
Drew Romo,16.7,C,,,-0.2,C+,0.2,B-
Dylan Beavers,18.9,C+,,,-10.2,D,0.2,B-
Dylan Crews,20.4,C+,,,8,B+,2.7,A-
Edgar Quero,14.5,C-,,,-6.7,D+,-1,C
Edmundo Sosa,21.5,C+,,,-0.8,C,1.5,B
Edouard Julien,21.1,C+,26.5,A+,-7.5,D+,-1.6,C-
Edwin Arroyo,11.8,D+,,,7.6,B+,-1.6,C-
Eli White,17.4,C,,,14.2,A+,3.3,A
Elias Diaz,18.7,C+,,,-0.7,C+,-3.9,D-
Elly De La Cruz,29.4,B+,13.2,B-,7.7,B+,1.6,B
Endy Rodriguez,23.6,B-,,,-7.8,D+,-1,C
Ernie Clement,9.8,D+,1.1,D-,-5.6,C-,-1,C
Esmerlyn Valdez,32.6,A,,,,,,
Esteury Ruiz,17.9,C,,,-2.2,C,10.8,A+
Eugenio Suarez,18.7,C+,13,B-,-13.1,D-,-1.9,D+
Evan Carter,18.8,C+,17.2,A-,5.9,B,3.7,A
Ezequiel Duran,17.1,C,9.7,C-,7.9,B+,1,B
Ezequiel Tovar,17.8,C,5.5,D,1.4,B-,1,B
Fernando Tatis,27.1,B,13.7,B-,7.5,B+,0.7,B
Francisco Alvarez,28.6,B+,8.7,C-,-7,D+,-0.6,C
Francisco Lindor,23.6,B-,10,C-,4.5,B,0.1,B-
Freddie Freeman,24.3,B-,15,B,3,B-,-0.5,C+
Freddy Fermin,13.5,C-,,,5.4,B,-0.9,C
Gabriel Arias,25.2,B,,,6.2,B+,-0.2,C+
Gabriel Moreno,19.2,C+,4.8,D,9.3,A-,-0.6,C
Garrett Mitchell,29.8,B+,20.4,A,-0.5,C+,-0.9,C
Gary Sanchez,22,C+,14.9,B,-14.3,D-,-2,D+
Gavin Sheets,20.3,C+,4.2,D,-2.5,C,-0.3,C+
George Springer,19.4,C+,16.2,B+,0,C+,-0.2,C+
Geraldo Perdomo,12.3,D+,12.4,C+,9.3,A-,-1.3,C-
Giancarlo Stanton,27.8,B+,,,0,C+,-1,C
Gleyber Torres,17.2,C,25.6,A+,2.2,B-,-4,D-
Graham Pauley,15.9,C,,,4,B,0,C+
Griffin Conine,26,B,,,,,,
Gunnar Henderson,22.2,C+,10.9,C,0.3,C+,0.5,B-
Ha-Seong Kim,13.1,C-,,,-3.6,C-,-0.9,C
Hao-Yu Lee,19.4,C+,,,-6,D+,-3.6,D-
Harrison Bader,21.7,C+,,,3.4,B,-1.1,C
Heliot Ramos,30.8,A-,10.9,C,-3.8,C-,-0.1,C+
Henry Bolte,20.1,C+,15.5,B,4.1,B,1.7,B+
Henry Davis,23.7,B-,,,3.9,B,-0.7,C
Heriberto Hernandez,27.3,B,17.9,A-,-0.5,C+,-0.6,C
Hunter Feduccia,21,C+,,,-3.3,C-,-1.9,D+
Hunter Goodman,30.5,A-,8.3,D+,0.1,C+,-2.8,D
Hyeseong Kim,15.8,C,,,-0.3,C+,3.8,A
Ian Happ,25.2,B,15.7,B+,3.9,B,-0.5,C+
Ildemaro Vargas,14.3,C-,2,D-,6.6,B+,0.6,B-
Isaac Collins,16.3,C,16.5,B+,-3.8,C-,-2.6,D
Isaac Paredes,15.3,C-,9.5,C-,0.6,C+,-1.4,C-
Isiah Kiner-Falefa,11.9,D+,,,9.1,A-,3,A-
Ivan Herrera,18.4,C,8.9,C-,-5.3,C-,-0.9,C
J.C. Escarra,15.1,C-,,,5.1,B,0.7,B
J.P. Crawford,18.9,C+,19.3,A,-11.9,D-,-2.3,D
J.T. Realmuto,17.8,C,9.9,C-,0.6,C+,1.1,B
JJ Bleday,21.8,C+,20.2,A,,,,
JJ Wetherholt,21.3,C+,15.1,B,17.6,A+,2.3,B+
Jac Caglianone,31.6,A-,10.8,C,-1.4,C,0.3,B-
Jackson Chourio,28.3,B+,10,C-,5.5,B,1.6,B
Jackson Holliday,21.9,C+,,,-6.2,D+,0.6,B-
Jackson Merrill,23.5,B-,11.7,C+,3.1,B-,4.4,A
Jacob Gonzalez,15,C-,,,,,,
Jacob Wilson,8.7,D,3.2,D-,7.3,B+,-0.3,C+
Jacob Young,16,C,10.1,C,12.3,A,2.5,B+
Jahmai Jones,21.4,C+,,,1.1,C+,-3.1,D-
Jake Bauers,28.7,B+,21.2,A,-8.9,D+,1.8,B+
Jake Burger,23.7,B-,10.6,C,2.9,B-,-0.2,C+
Jake Cronenworth,17.7,C,,,-6.7,D+,1.3,B
Jake Fraley,18,C,,,-2.2,C,2.3,B+
Jake Mangum,13.2,C-,-4.4,D-,1.5,B-,2.7,A-
Jake McCarthy,14.4,C-,11.1,C,-3.7,C-,3.3,A
Jake Meyers,15.3,C-,,,5.4,B,-3,D
Jake Rogers,20.5,C+,,,4.8,B,0.4,B-
Jakob Marsee,14.8,C-,16.4,B+,-2,C,-0.3,C+
James McCann,21.8,C+,,,-6.7,D+,-0.6,C
James Outman,19.5,C+,,,-0.3,C+,2,B+
James Wood,40.5,A+,17.1,A-,-4.2,C-,2,B+
Jared Triolo,13.6,C-,17.8,A-,2,B-,1.9,B+
Jared Young,21.8,C+,,,4.6,B,-0.2,C+
Jarred Kelenic,,,,,-6.3,D+,-5.4,D-
Jarren Duran,22.7,B-,6.8,D,10.7,A,3.9,A
Jasson Dominguez,17.2,C,,,-4.1,C-,4.2,A
Javier Baez,14.1,C-,,,-11.6,D,-1.5,C-
Javier Sanoja,12.5,C-,5.9,D,3.2,B-,-0.3,C+
Jazz Chisholm,22.7,B-,14.3,B,3.1,B-,5.2,A+
