season,team,rot_season,rot_oct,rot_top2,rot_depth
2024,118,52.31774024353779,53.27186932748635,58.45411480070113,11.64487657895473
2026,111,52.60459679829702,54.02244724066123,44.566755903882466,-19.29197028535755
2023,109,49.73314645063572,52.43216262372942,53.09248008393216,0.6113678840301517
2018,111,49.207146845433286,52.07866239518454,48.38211535233451,-4.988322563860251
2025,143,53.59626153882316,54.93966494279641,59.70365743837728,5.900745838389653
2024,143,53.442411366310075,57.24123135921035,62.48315709333475,14.658432884941796
2024,114,44.58564531989029,43.23838680105841,45.186441659309395,4.063128291766574
2015,141,55.90147802241508,56.433693014157896,54.576585788730654,1.1454054520667256
2025,114,44.579463535557245,43.06043987025034,45.53626332501375,4.651681743788373
2017,109,43.74489900871468,47.88621338404733,45.98920133074583,-0.35164654469038226
2023,144,54.74053191332417,55.89549348388565,56.29486277269528,2.3647172117485837
2022,144,55.47180936794326,54.864417438261334,55.61806547333494,2.972652300036728
2021,137,52.55286024373751,53.20300376288843,54.50690431033989,3.8558185504314224
2015,140,52.03528660333959,52.47570185202868,43.50433193151988,-22.874786774497245
2015,117,61.97666661621402,61.749959149928074,62.84417245702386,3.323732624021872
2024,135,53.697188915854035,56.793380364727774,60.03833265072173,9.693880961332283
2025,135,51.49066769816309,52.531796125020115,57.82167774658297,9.119808254692465
2021,117,47.19890460179439,46.08712875998607,47.74738478411237,2.8117040920661154
2020,117,50.0404872489924,49.60349402423589,44.725059762656876,-11.345270517575692
2015,121,59.13415972743706,59.832378568447034,60.10259922837059,4.257179084635453
2018,147,57.564782755770565,57.59695392934683,62.62673743998661,12.368756527659016
2019,147,51.56795837665973,52.7677128513095,49.79527643784787,-5.872326011514666
2025,158,46.228274957051916,42.08514134301421,46.35989925748216,8.37415937364468
2024,158,44.83925155035515,44.8192285509585,48.17554037588155,8.355185511557579
2025,119,54.63591378446526,50.73863929949566,47.95508626504852,-6.843372938349532
2024,119,55.96260828332137,57.76064168533243,60.608025746868066,7.601245909673835
2026,110,52.0576555336576,52.21438503336581,57.224511772422304,9.23809927604929
2026,147,60.71948320565353,63.103803813787195,64.23209599186004,1.789076471047487
2016,112,39.32774395682738,44.11559780489295,50.41239212275917,17.578073294733038
2017,112,41.34455934392212,42.006701956087305,44.02492175542806,3.311293895650344
2016,119,47.932111846804304,51.47995057818828,44.312578758896436,-15.963342566474793
2017,119,46.47932941140542,49.63608445252766,48.39760375476108,-2.1304690180334376
2015,147,54.199273855313926,49.34856231328792,41.49276924496607,-19.07662896443526
2025,112,47.006616498816186,45.28063455467317,43.785347245415736,-2.4584402345206513
2022,139,55.09943689325738,57.38963087739263,57.48159101542156,0.046451308574930295
2023,139,56.2151367670289,62.4855044357016,59.634542419668605,-4.462480926984625
2023,142,54.48377124733566,55.67467656579101,57.15114980323018,3.741727348169661
2017,115,48.57529575822969,49.901210068041486,47.53627997694933,-4.710431982113825
2026,140,52.50794951558228,53.86833347358294,63.36271607623027,19.46656107991859
2022,135,54.60521904691164,55.14772298641623,51.91114926176698,-10.199779282788427
2026,117,53.01104432763486,55.373800957264294,52.6469650573145,-5.074324942842608
2017,142,43.67232235789402,43.647765248057105,36.369619016807775,-17.331060011243878
2018,117,62.455573237877886,61.82981822961021,54.63757707581132,-15.071945844015033
2023,158,49.895845455148105,50.389741787257265,55.93122249473504,12.912468075410793
2019,117,61.016000183797466,63.49086899942582,71.2918716584413,17.18761189856997
2021,147,55.40939253175067,58.0026013461349,60.6991382191147,6.255257669312087
2020,147,53.58508220660238,51.414940433231564,58.315703480786546,14.482770733278088
2022,119,51.18032609902279,49.85061340490387,50.3092066052737,-0.7640256117694264
2023,119,50.686409168368485,52.431538220503064,56.977825872026735,12.55262331971155
2021,111,51.28847965129276,51.931055130524165,52.24863080769633,3.1249043842872055
2017,114,51.15604410463553,50.914936293549424,52.96694065225774,7.07925385913893
2026,141,53.982515824742535,59.790315482397155,64.45106250928154,10.391796057337103
2016,114,57.988721066218304,57.67872709740287,54.921636959416105,-4.529242376901209
2022,114,44.628519038505935,44.59849236106407,39.339047201989956,-10.164150948812441
2022,143,51.722810557588026,51.42546319047868,54.96560469898767,3.9486445683531457
2023,143,53.022030682915336,52.97760247885939,63.155962904862214,22.531299425254858
2022,138,42.20040560945723,37.27275638804665,38.966328787137414,1.6360833441277975
2025,113,51.48158533637058,48.77205322083247,45.346008952152516,-5.408590360157994
2019,120,48.25021344131333,46.237654481937156,47.54046931696802,-2.2471993963445556
2024,144,50.57613030166972,51.21562243244839,53.52013965212976,5.382134360271053
2018,158,43.16449779265612,39.26239411159206,36.235456011054815,-7.454700139598934
2022,117,51.46823536953218,49.77348282240217,53.240881141993455,6.825421132661887
2023,117,49.587153157489674,50.654165807141986,50.662079091012664,-0.6656592284295542
2019,158,47.17643563315846,47.669873203890255,42.19161087118875,-8.951909834867472
2026,135,51.29506100839256,51.92066662483309,51.56608238634079,0.3362080897536046
2023,140,48.06783129879277,49.438658883523736,51.70045572476645,3.7659868979900253
2016,137,53.65073953151097,57.22916979951395,61.986988681641975,14.536897524684314
2018,119,48.06703070619389,48.25422677330871,42.086920429868805,-15.707804430301081
2019,119,52.836218543822284,52.72175954241668,53.77035819874634,2.7177317317612335
2016,121,58.99107352314095,60.12615997652555,61.42978351407746,4.692881997108628
2026,158,62.49368274683919,63.087067979269115,72.04343170425375,20.158545453090227
2026,119,63.60685628382481,65.33609864212383,68.44622481686567,7.37229821142806
2024,110,50.47797749820347,51.95760002167959,53.59045647852762,-0.17649964075631175
2025,147,52.167712295798104,54.52352359466256,55.577272242123456,1.5673885686872069
2015,112,46.26708201700742,49.92968307996018,58.66981544926399,23.533034980749107
2024,147,53.33523067295804,54.64191985680376,54.411397322495816,2.3259397864804754
2026,139,55.30581469360242,57.544948609774586,51.770040454654726,-14.444466529809738
2020,112,41.534839877110564,40.91394166107724,50.09794288043015,19.227969335456606
2020,145,51.75279798772965,51.54690550738905,58.881816594416904,
2021,145,56.23459911646123,54.6405253036689,62.43025167887393,14.506164180202617
2018,115,46.01218794600029,48.26646064546201,47.535586850952114,-0.8209290620975409
2019,142,48.88486838162122,50.65091034139035,54.22687180715198,6.654599993594047
2019,139,54.90581316169431,62.34469863613938,60.1412039014771,-0.6185478077708311
2022,121,50.66092235502258,46.523880685158296,41.064144892739705,-14.535960997843219
2016,140,61.31004761146717,60.44574482680652,62.45463379333696,6.475957434781677
2017,117,48.046230440254,47.52130270020332,50.38452853257479,3.2140809916196673
2026,143,62.21259685405823,62.23822472305061,60.50775355856527,-4.66694170376357
2022,136,46.96457618619419,46.90358655262471,51.76603439426867,7.889787536755094
2016,141,50.93773043998815,55.953829023436846,57.19354002184309,4.696312351263259
2026,114,51.5189889337481,53.06504432810782,52.600905253031556,-1.6261284955350845
2019,138,45.76529806444217,48.5203598568159,52.65828460312615,9.664649945330225
2018,114,51.90770123373146,55.43566549712788,56.76682534190054,3.44167466031854
2021,144,51.451429858150036,53.28377482770617,57.16124289434566,8.80284429296512
2020,113,61.34949210254326,61.11747485586419,65.21340410721797,9.133492474889565
2025,111,51.75998742152327,51.09741471059042,57.00822359941381,13.699766608472245
2020,133,46.596507879907044,44.364291835790574,48.4575409554359,5.8514224017393985
2017,120,55.23938953696119,57.72646044168762,61.48326034572389,6.255394895997263
2016,120,58.2254078622786,58.00725931225408,54.56778957735856,-8.265395728592829
2023,141,49.43783489980995,50.93486550127246,45.19837476099426,-13.339786447695118
2022,141,51.93866201844989,52.574121779962006,50.55954215480281,-2.0646243520869234
2025,136,52.914014123363685,54.67871004988323,54.877419281646354,1.623423876284697
2020,114,49.91663105678209,50.420311555404666,53.876919792404905,8.786335599965042
2015,134,46.97619322450127,42.76984220291114,47.372678921847424,5.653236029416675
2019,144,47.326868464306706,47.8782521606846,49.84544094121994,3.2614617876825136
2018,144,47.899982597868096,49.65643502207121,58.48952942151176,21.116062260281268
2021,138,41.93902499499498,42.77773322791267,38.644424801655745,-11.236448142727106
2020,138,40.415903187553475,40.09501979567763,46.58867303752224,12.624451525487885
2017,111,50.8495386706226,52.36461812041278,59.8473758912849,17.882208908773023
