season,team,lineup_xwoba,lu_oaa,rot_top2,lu_kpct
2024,118,0.3205873903687586,2.777777777777778,58.45411480070113,0.2085754696093614
2026,111,0.3152839479331951,1.309523809523809,44.56675590388247,0.2145836336014812
2023,109,0.3212389837739889,2.965811965811966,53.09248008393216,0.2063877989712698
2018,111,0.3350749882905774,1.3888888888888886,48.38211535233451,0.2027410922276499
2025,143,0.3275331972238466,0.1703703703703703,59.70365743837728,0.2280894416400072
2024,143,0.3295494042861134,0.4666666666666667,62.48315709333475,0.2228137597916326
2024,114,0.3068906972636981,1.6837606837606836,45.1864416593094,0.2098023737823035
2015,141,0.3271807327421919,0.0,54.576585788730654,0.1829253276815844
2025,114,0.3040133071448886,0.5069444444444441,45.53626332501375,0.2193721637686866
2017,109,0.3328756295828907,-0.5851851851851851,45.98920133074583,0.2193123926234721
2023,144,0.3550703852619016,-0.6592592592592593,56.29486277269528,0.2075795266855303
2022,144,0.3305893800940042,1.034722222222222,55.61806547333494,0.2400796742161348
2021,137,0.3299088594495697,1.8370370370370368,54.50690431033989,0.2270147669296295
2015,140,0.3225603543191617,0.0,43.50433193151988,0.1863389240169485
2015,117,0.3158791203821893,0.0,62.84417245702386,0.2151752610874391
2024,135,0.3330541083452016,-0.4761904761904761,60.03833265072173,0.1883451345612034
2025,135,0.328193113753272,-0.8962962962962964,57.82167774658297,0.1928077456637233
2021,117,0.3353895270642874,2.7638888888888893,47.74738478411237,0.2070492626068239
2020,117,0.3229497102165653,0.5259259259259261,44.72505976265688,0.20873418196489
2015,121,0.3282973694479987,0.0,60.10259922837059,0.2015640701712698
2018,147,0.3369464995391896,-3.9333333333333336,62.62673743998661,0.224169537722521
2019,147,0.3353175387982001,-2.5873015873015874,49.79527643784787,0.2250628969138621
2025,158,0.316505042012106,2.0074074074074075,46.35989925748216,0.2037628715670337
2024,158,0.3142663612625525,3.311111111111112,48.17554037588155,0.2311935263845095
2025,119,0.3297624714862047,0.902777777777778,47.95508626504852,0.2106687953330526
2024,119,0.3393431288932377,-0.5851851851851853,60.60802574686807,0.210173091095605
2026,110,0.3188085965869736,-0.1777777777777777,57.224511772422304,0.2507689583516442
2026,147,0.3236994714971238,0.2941176470588235,64.23209599186004,0.24440854462863956
2016,112,0.3230189255928487,3.520833333333333,50.41239212275917,0.2082031754737982
2017,112,0.3288282797275433,2.2916666666666665,44.02492175542806,0.2157754882157541
2016,119,0.3255869284027959,-1.1458333333333333,44.31257875889644,0.2049118841801658
2017,119,0.3354458998790269,-0.7777777777777777,48.39760375476108,0.2179439501382528
2015,147,0.3190699181366083,0.0,41.49276924496607,0.1998273090290424
2025,112,0.3298032050979516,4.215277777777779,43.785347245415736,0.2108611703992279
