,season,team,lineup_xwoba,lu_oaa,rot_oct,lu_kpct,z_lineup_xwoba,z_lu_kpct,z_lu_oaa,z_rot_oct
1,2026,111,0.3141151767376485,2.652326839826839,54.02244724066123,0.2145836336014812,-1.0424293641192104,0.018350645537441222,0.3899021547694506,-0.3704351351235696
27,2026,147,0.3280420316121162,1.3895361174772938,63.1038038137872,0.2444085446286395,0.7465787166158594,1.7319783077929634,-0.34255047278221745,1.1686174602694794
38,2026,140,0.3153238381266778,3.079365079365079,53.86833347358294,0.2272835304030682,-0.8871678200494083,0.7480391414116726,0.637595834394254,-0.39655339083764857
64,2026,135,0.3237782841956914,2.451851851851852,51.92066662483309,0.2125955843436263,0.19886865207130963,-0.0958752175031737,0.27362126269300185,-0.7266320188919644
70,2026,158,0.3234851357885283,2.6349206349206344,63.08706797926912,0.2198771657979566,0.1612115590667092,0.32249717575375564,0.3798060871522201,1.1657811737143031
71,2026,119,0.3423327773852421,0.3446969696969696,65.33609864212383,0.2025318775903455,2.5823312894902797,-0.6740981084799863,-0.9485853173656791,1.546933092033222
76,2026,139,0.3136419555532083,1.246031746031746,57.544948609774586,0.1878683777972463,-1.1032181445416038,-1.5166078765075175,-0.42578687297913553,0.22653678539902283
86,2026,143,0.322574892349831,-0.6814814814814818,62.23822472305061,0.2025595810741239,0.04428402001042626,-0.6725063700804893,-1.5437964553633374,1.0219244265372345
89,2026,114,0.3185996217209746,0.8340548340548344,53.06504432810782,0.191220844721849,-0.466369055808652,-1.3239876855012596,-0.6647445769973194,-0.5326899068129264
108,2026,144,0.3215998250110003,1.8296296296296293,46.84032992653171,0.2180379996475553,-0.08097063110444738,0.21682557834507216,-0.08728438344584599,-1.5876163132571266
128,2026,145,0.3182404927148426,1.7185185185185186,52.17271529187449,0.2403988015226696,-0.5125018474394727,1.5015934895894305,-0.15173182025635423,-0.6839163571896845
132,2026,112,0.3250278340672827,6.261904761904761,51.299226869981794,0.2098050462940777,0.3593826258082387,-0.25620908035790774,2.4835545601809605,-0.8319498158403431
