season,team,lineup_xwoba,lineup_woba,n_games,core9
2026,110,0.3188085965869736,0.3142727251480442,15,Pete Alonso;Coby Mayo;Gunnar Henderson;Dylan Beavers;Christian Encarnacion-Strand;Colton Cowser;Samuel Basallo;Jackson Holliday;Leody Taveras
2026,147,0.32369947149712386,0.32336965403302786,14,Cody Bellinger;Ben Rice;Spencer Jones;George Lombard Jr.;Austin Wells;Luis García Jr.;Ryan McMahon;Anthony Volpe;Aaron Judge
2016,112,0.3230189255928487,0.33008839668228385,16,Kris Bryant;Anthony Rizzo;Dexter Fowler;Ben Zobrist;Addison Russell;Jason Heyward;Javier Báez;Chris Coghlan;Willson Contreras
2017,112,0.32882827972754336,0.33104819984609596,16,Anthony Rizzo;Kris Bryant;Ben Zobrist;Jon Jay;Willson Contreras;Jason Heyward;Javier Báez;Addison Russell;Kyle Schwarber
2016,119,0.32558692840279596,0.3259722681162489,16,Corey Seager;Justin Turner;Adrián González;Howie Kendrick;Chase Utley;Joc Pederson;Yasmani Grandal;Yasiel Puig;Josh Reddick
2017,119,0.3354458998790269,0.33742938370757036,16,Cody Bellinger;Corey Seager;Chris Taylor;Justin Turner;Yasiel Puig;Curtis Granderson;Yasmani Grandal;Logan Forsythe;Chase Utley
2015,147,0.31906991813660834,0.3217307110934117,17,Carlos Beltrán;Jacoby Ellsbury;Brett Gardner;Greg Bird;Chase Headley;Didi Gregorius;Alex Rodriguez;Brian McCann;Dustin Ackley
2025,112,0.3298032050979516,0.32419729521829993,16,Nico Hoerner;Ian Happ;Michael Busch;Dansby Swanson;Pete Crow-Armstrong;Matt Shaw;Moisés Ballesteros;Carson Kelly;Seiya Suzuki
2022,139,0.30702890137220706,0.3083953336178854,16,Randy Arozarena;Wander Franco;Manuel Margot;Harold Ramírez;Isaac Paredes;David Peralta;Jonathan Aranda;Jose Siri;Ji Man Choi
2023,139,0.3189975012964417,0.32827341731823156,13,Isaac Paredes;Manuel Margot;Yandy Díaz;Josh Lowe;Curtis Mead;Randy Arozarena;Harold Ramírez;Junior Caminero;Taylor Walls
2023,142,0.3289371877852293,0.33157411146402294,14,Edouard Julien;Max Kepler;Matt Wallner;Jorge Polanco;Kyle Farmer;Willi Castro;Donovan Solano;Michael A. Taylor;Alex Kirilloff
2017,115,0.31792626023147647,0.3366858562135272,15,Charlie Blackmon;Nolan Arenado;DJ LeMahieu;Trevor Story;Ian Desmond;Jonathan Lucroy;Carlos González;Gerardo Parra;Mark Reynolds
2026,140,0.3153238381266778,0.32002257064755385,14,Corey Seager;Ezequiel Duran;Wyatt Langford;Jake Burger;Brandon Nimmo;Danny Jansen;Josh Jung;Nicky Lopez;Evan Carter
2022,135,0.3231225655276988,0.3261433064013821,15,Juan Soto;Manny Machado;Jurickson Profar;Brandon Drury;Jake Cronenworth;Ha-Seong Kim;Josh Bell;Austin Nola;Wil Myers
2026,117,0.3148226859631842,0.3235255156682143,14,Jeremy Peña;Isaac Paredes;Jose Altuve;Yordan Alvarez;Daulton Varsho;Christian Walker;Cam Smith;Yainer Diaz;Taylor Trammell
2017,142,0.32240441498135053,0.32693203080398037,16,Jorge Polanco;Brian Dozier;Joe Mauer;Eddie Rosario;Eduardo Escobar;Byron Buxton;Max Kepler;Robbie Grossman;Jason Castro
2018,117,0.3156616219236797,0.327275618823453,15,Jose Altuve;Alex Bregman;Yuli Gurriel;George Springer;Marwin Gonzalez;Tyler White;Josh Reddick;Tony Kemp;Martín Maldonado
2023,158,0.3174666426407669,0.3171279802232578,15,William Contreras;Willy Adames;Mark Canha;Carlos Santana;Josh Donaldson;Sal Frelick;Tyrone Taylor;Brice Turang;Christian Yelich
2019,117,0.3411002356023651,0.35407544023444526,14,Alex Bregman;Jose Altuve;George Springer;Yuli Gurriel;Yordan Alvarez;Michael Brantley;Kyle Tucker;Aledmys Díaz;Josh Reddick
2021,147,0.3376473817367227,0.32795049867290316,15,Aaron Judge;Giancarlo Stanton;Gleyber Torres;Anthony Rizzo;Brett Gardner;Gio Urshela;Joey Gallo;DJ LeMahieu;Gary Sánchez
2020,147,0.3408351832290689,0.33977352818899825,17,DJ LeMahieu;Luke Voit;Aaron Hicks;Clint Frazier;Gary Sánchez;Gleyber Torres;Gio Urshela;Brett Gardner;Aaron Judge
2022,119,0.3307527252136825,0.3309370375411952,17,Trea Turner;Freddie Freeman;Mookie Betts;Max Muncy;Will Smith;Cody Bellinger;Gavin Lux;Trayce Thompson;Justin Turner
2023,119,0.3387272326790292,0.33897912445066025,16,Freddie Freeman;Mookie Betts;J.D. Martinez;Max Muncy;James Outman;Jason Heyward;Will Smith;David Peralta;Chris Taylor
2021,111,0.34331709969867275,0.33952681408613944,14,Enrique Hernández;Xander Bogaerts;Rafael Devers;J.D. Martinez;Hunter Renfroe;Kyle Schwarber;Alex Verdugo;Christian Vázquez;Jose Iglesias
2020,146,0.3221999190634219,0.323759720323414,21,Garrett Cooper;Corey Dickerson;Starling Marte;Brian Anderson;Jesús Aguilar;Miguel Rojas;Matt Joyce;Jazz Chisholm;Jorge Alfaro
2017,114,0.33611440028346096,0.33668155770784614,15,Francisco Lindor;Jay Bruce;Edwin Encarnación;Carlos Santana;Austin Jackson;José Ramírez;Jason Kipnis;Roberto Pérez;Gio Urshela
2026,141,0.3046160007917949,0.3148929705713389,15,Brett Bateman;Vladimir Guerrero Jr.;Kazuma Okamoto;Nathan Lukes;Andrés Giménez;George Springer;Alejandro Kirk;Ernie Clement;Josh Smith
2016,114,0.32479742656918786,0.3311940058508716,15,Carlos Santana;Jason Kipnis;José Ramírez;Francisco Lindor;Mike Napoli;Tyler Naquin;Roberto Pérez;Rajai Davis;Coco Crisp
2022,114,0.3095265132034091,0.3171227725070166,16,Steven Kwan;Oscar Gonzalez;José Ramírez;Amed Rosario;Andrés Giménez;Josh Naylor;Myles Straw;Will Brennan;Austin Hedges
2022,143,0.3286577489044219,0.32440662425578054,16,Kyle Schwarber;Rhys Hoskins;Bryce Harper;Alec Bohm;Jean Segura;J.T. Realmuto;Bryson Stott;Brandon Marsh;Matt Vierling
2023,143,0.328109979791536,0.33112174731835703,15,Kyle Schwarber;Bryce Harper;Alec Bohm;Trea Turner;Nick Castellanos;Bryson Stott;J.T. Realmuto;Brandon Marsh;Johan Rojas
2022,138,0.3214014566098438,0.32702068554145497,14,Paul Goldschmidt;Brendan Donovan;Nolan Arenado;Lars Nootbaar;Albert Pujols;Dylan Carlson;Tommy Edman;Corey Dickerson;Juan Yepez
