ab,same_as_core,old_x,new_x,d_pts,old_k,new_k,old_oaa,new_oaa,nine
LAD,False,0.327915665468011,0.34233277738524215,14.417111917231162,0.2044052182336324,0.20253187759034558,-0.0074074074074074,0.34469696969696967,Ohtani; Edman; Freeman; Betts; Smith; Muncy; Tucker; Hernández; Pages
CLE,False,0.3138812629796218,0.31859962172097467,4.718358741352846,0.1921711547281253,0.19122084472184905,1.1984126984126988,0.8340548340548344,Kwan; Ramírez; DeLauter; Adell; Bazzana; Martínez; Lowe; Bailey; Rocchio
NYY,False,0.3236994714971238,0.32804203161211626,4.342560114992455,0.2369129981030139,0.24440854462863956,0.2941176470588235,1.3895361174772938,Rice; Bellinger; Judge; García; Jones; Chisholm; Lombard; McMahon; Wells
HOU,False,0.3148226859631842,0.31645489797592224,1.6322120127380546,0.2108044638482806,0.21084910099745738,-0.0396825396825397,-0.8376623376623378,Peña; Alvarez; Paredes; Altuve; Diaz; Walker; Smith; Trammell; Vázquez
TB,True,0.3136419555532083,0.3136419555532083,0.0,0.1878683777972463,0.1878683777972463,1.246031746031746,1.246031746031746,Díaz; Aranda; Caminero; Hicks; Simpson; DeLuca; Mesa; Palacios; Mateo
CWS,True,0.3182404927148426,0.3182404927148426,0.0,0.2403988015226696,0.2403988015226696,1.7185185185185186,1.7185185185185186,Antonacci; Vargas; Teel; Murakami; Benintendi; Montgomery; Meidroth; Peters; Montgomery
TEX,True,0.3153238381266778,0.3153238381266778,0.0,0.2272835304030682,0.2272835304030682,3.079365079365079,3.079365079365079,Seager; Duran; Jung; Nimmo; Langford; Burger; Lopez; Carter; Jansen
MIL,True,0.3234851357885283,0.3234851357885283,0.0,0.2198771657979566,0.2198771657979566,2.6349206349206344,2.6349206349206344,Chourio; Turang; Contreras; Vaughn; Yelich; Mitchell; Ortiz; Lara; Pratt
ATL,True,0.3215998250110003,0.3215998250110003,0.0,0.2180379996475553,0.2180379996475553,1.8296296296296293,1.8296296296296293,Baldwin; Acuña; Olson; II; Dubón; Albies; Riley; Yastrzemski; Murphy
SD,True,0.3237782841956914,0.3237782841956914,0.0,0.2125955843436263,0.2125955843436263,2.451851851851852,2.451851851851852,Tatis; Harris; Machado; France; Merrill; Bogaerts; Campusano; Cronenworth; Taylor
CHC,True,0.3250278340672827,0.3250278340672827,0.0,0.2098050462940777,0.2098050462940777,6.261904761904761,6.261904761904761,Crow-Armstrong; Suzuki; Busch; Bregman; Happ; Hoerner; Conforto; Kelly; Ramírez
PHI,True,0.322574892349831,0.322574892349831,0.0,0.2025595810741239,0.2025595810741239,-0.6814814814814818,-0.6814814814814818,Schwarber; Turner; Harper; Arraez; Bohm; Stott; Marsh; Realmuto; Crawford
AZ,True,0.3216068357476257,0.3216068357476257,0.0,0.1975887954596692,0.1975887954596692,3.357142857142856,3.357142857142856,Nootbaar; Marte; Moreno; Perdomo; Carroll; Arenado; Tawa; Smith; Lawlar
BOS,False,0.3152839479331951,0.3141151767376485,-1.1687711955465918,0.2193216192837458,0.2145836336014812,1.309523809523809,2.652326839826839,Anthony; Gasper; Rutschman; Abreu; Story; Rafaela; Sogard; Durbin; Duran
