season,team,lu_oaa,lu_frp,lu_bsr,lu_spd,c_fram,c_pop,of_arm
2024,118,2.777777777777778,2.0238095238095233,1.0989683498286138,27.395238095238096,2.787098962532232,1.88,91.8
2026,111,1.3095238095238093,1.031746031746032,0.06665461958748789,27.823015873015866,6.487146981565377,1.93,95.075
2023,109,2.965811965811966,2.418803418803418,1.6547193856380593,27.852136752136758,5.090445858935661,1.9,91.29999999999998
2018,111,1.3888888888888886,1.2380952380952381,1.088160525585189,26.840476190476192,5.845634235661494,2.06,
2020,141,-1.2875816993464049,-1.0849673202614378,-0.38911607499321016,26.781699346405233,-4.300186721536345,1.96,91.36666666666667
2025,143,0.1703703703703703,0.07407407407407415,0.33151261608020904,27.82518518518518,-0.541572348723312,1.86,95.32499999999999
2024,143,0.46666666666666673,0.22222222222222232,-0.02868140364183344,27.916296296296302,-0.541572348723312,1.85,96.275
2024,114,1.6837606837606836,1.1367521367521365,0.49374966733607467,27.41695438774646,0.0,1.97,94.64000000000001
2015,141,0.0,0.0,0.0,26.60818164580963,0.0,1.97,
2025,114,0.5069444444444441,0.4444444444444444,0.7331005659722837,27.10555555555556,0.0,1.96,98.56666666666668
2017,109,-0.5851851851851851,-0.5999999999999999,0.3199150694294705,27.48998604769153,0.0,2.05,
2023,144,-0.6592592592592593,-0.37037037037037024,1.3178056922807762,27.28148148148148,0.0,1.9,97.65
2022,144,1.0347222222222219,0.6597222222222221,0.4821629965801457,27.53958333333333,-5.109859281770768,1.97,95.56
2021,137,1.8370370370370368,1.4814814814814814,-0.05664978536100527,26.227663344407528,0.0,2.0,90.78333333333335
2015,140,0.0,0.0,0.0,26.81388888888889,0.0,2.11,
2015,117,0.0,0.0,0.0,27.475891796233093,0.0,2.02,
2024,135,-0.47619047619047616,-0.2698412698412699,0.22631051291202448,26.902785635706422,-1.7253268711206309,2.02,93.45
2025,135,-0.8962962962962964,-0.7185185185185186,0.30627960194072995,27.420000000000005,2.787098962532232,1.9,97.925
2021,117,2.7638888888888893,2.354166666666667,0.18630161601632417,27.124305555555555,0.0,1.96,90.42500000000001
2020,117,0.5259259259259261,0.5481481481481482,0.25920312835455167,26.925925925925924,0.0,1.91,88.475
2015,121,0.0,0.0,0.0,26.733508722032603,0.0,2.01,
2018,147,-3.9333333333333336,-3.192592592592592,-0.1813133259818217,27.48888888888889,-2.333396289924546,1.94,
2019,147,-2.5873015873015874,-1.8888888888888877,0.2539702621089032,27.135714285714286,0.0,2.06,
2025,158,2.0074074074074075,1.6074074074074076,1.3362765966213415,27.997777777777777,-5.109859281770768,1.96,94.19999999999999
2024,158,3.3111111111111113,2.6296296296296298,1.4826552878040624,28.05605427209388,-5.109859281770768,1.96,95.65
2025,119,0.9027777777777779,0.5833333333333334,0.35813791700327324,27.084169593012792,0.0,1.96,95.07499999999999
2024,119,-0.5851851851851853,-0.5703703703703705,0.789438819686302,27.340740740740745,-1.728702696507706,1.94,97.07499999999999
2026,110,-0.17777777777777773,0.01481481481481485,0.3089438238841904,27.3809900869671,-5.77772366132693,1.92,96.0
2026,147,0.2941176470588235,0.14285714285714282,-0.28594284008975845,27.421008403361338,6.386376453311994,1.97,96.14999999999999
2016,112,3.520833333333333,2.7847222222222223,1.0229895809588625,27.398283898305078,0.0,1.96,
2017,112,2.2916666666666665,1.6666666666666667,0.25265728683412997,27.313287195586003,0.0,1.96,
2016,119,-1.1458333333333333,-0.923611111111111,0.4683462168835509,26.573283898305082,0.0,2.01,
2017,119,-0.7777777777777777,-0.6597222222222224,0.5899847367567197,27.13363774733639,0.0,2.03,
2015,147,0.0,0.0,0.0,26.372263490151465,0.0,2.05,
2025,112,4.215277777777779,3.5138888888888897,1.162669217625994,27.679861111111112,0.0,,97.3
2022,139,1.2152777777777777,1.236111111111111,0.5655017924887624,27.68888888888889,0.0,1.89,93.17999999999999
2023,139,-1.2735042735042736,-1.1880341880341883,-0.03748494660328833,27.52946769119408,0.0,1.87,93.775
2023,142,-0.46825396825396826,-0.4126984126984127,0.3023772562975798,27.20793650793651,-1.197428930184609,1.95,97.37499999999999
2017,115,2.777777777777778,1.9555555555555553,-0.27825440921006606,26.922063673262304,0.0,2.05,
2026,140,3.079365079365079,2.420634920634921,0.41036108968833546,27.126190476190473,-4.300186721536345,2.0,90.32499999999999
2022,135,1.1481481481481484,0.8444444444444444,-0.3117310865774886,27.32434536447275,0.0,2.01,93.7
2026,117,-0.03968253968253971,0.16666666666666682,-0.3837981619295825,26.94126984126984,-4.052067188341534,1.95,90.44285714285715
2017,142,5.902777777777777,5.006944444444445,1.126638954511569,27.55416666666667,0.0,2.08,
2018,117,2.888888888888889,2.414814814814815,0.4885849982535395,26.960000000000008,0.0,1.97,
2023,158,3.051851851851852,2.5703703703703704,0.46650228150211337,27.346666666666664,-5.109859281770768,1.95,94.8
2019,117,2.301587301587302,1.880952380952381,-0.050473495411350405,27.37380952380952,0.0,2.03,
2021,147,-0.214814814814815,-0.08148148148148138,-0.3388602858603783,26.471851851851845,-2.333396289924546,1.95,93.2
2020,147,-0.7581699346405228,-0.6797385620915032,0.1602604518851518,26.34640522875817,-2.333396289924546,1.94,90.55
2022,119,0.5686274509803921,0.5686274509803922,1.0301374133047778,27.771895424836604,-1.728702696507706,1.93,95.22
